name,primary_industry,secondary_industries,description,traits,keywords,salary_range,crossover_label,source_url,reviewed
"Wind Turbine Technician","Tech & Engineering","Environment & Sustainability","You climb hundreds of feet into wind turbines to maintain the gearboxes, generators, and blades that produce clean energy. Working in remote locations and extreme weather, you keep renewable power flowing to thousands of homes.","Brave,Physical,Independent,Technical","hands-on,physical,outdoor,independent,technical,travel","$50k–$75k","Tech + Environment","https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm","false"
"Technical Writer","Tech & Engineering","Media & Journalism","You translate complex technical information into clear manuals, help guides, and documentation that regular people can understand. Software companies, medical device makers, and aerospace firms rely on you to explain their products.","Clear communicator,Detail-oriented,Patient,Analytical","writing,analytical,systems,independent,creative,technical","$55k–$95k","Tech + Media","https://www.bls.gov/ooh/media-and-communication/technical-writers.htm","false"
"Elevator Installer and Repairer","Tech & Engineering","","You assemble, install, and maintain elevators, escalators, and moving walkways in buildings ranging from skyscrapers to subway stations. Your technical expertise with electrical systems, hydraulics, and computer controls keeps millions of people moving safely every day.","Technical,Physical,Problem-solver,Safety-conscious","hands-on,physical,technical,systems,independent,problem-solving","$60k–$100k","","https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm","false"
"Sports Data Analyst","Tech & Engineering","Sports & Fitness,Business & Finance","You crunch numbers on player performance, game strategies, and injury risks to help professional sports teams make smarter decisions. Your statistical models might determine which player gets drafted or which play gets called in the final seconds.","Analytical,Creative,Detail-oriented,Sports-minded","data,analytical,systems,creative,sports,technical","$55k–$110k","Tech + Sports","https://www.onetonline.org/link/summary/15-2041.00","false"
"Cartographer","Tech & Engineering","Design & Creative,Science & Research","You create digital and printed maps using satellite data, surveys, and geographic information systems for navigation apps, urban planners, and environmental researchers. Your visual designs help people understand and navigate the world around them.","Visual thinker,Detail-oriented,Creative,Technical","visual,creative,data,analytical,technical,independent","$55k–$90k","Tech + Design","https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm","false"
"Quality Assurance Tester","Tech & Engineering","","You systematically break software, video games, and apps to find bugs before customers do. Your detailed bug reports and test cases help development teams ship products that actually work the way they're supposed to.","Detail-oriented,Patient,Curious,Systematic","analytical,systems,independent,technical,problem-solving,data","$45k–$85k","","https://www.onetonline.org/link/summary/15-1253.00","false"
"Audio Engineer","Tech & Engineering","Arts & Performance,Media & Journalism","You operate the mixing boards, microphones, and recording equipment that capture and shape sound for music albums, podcasts, films, and live concerts. Your technical ear ensures every voice and instrument sounds exactly right.","Creative,Technical,Detail-oriented,Collaborative","creative,technical,hands-on,people,independent,visual","$35k–$90k","Tech + Arts","https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm","false"
"Blockchain Developer","Tech & Engineering","Business & Finance","You write the code that powers cryptocurrency networks, digital contracts, and secure transaction systems. Your work creates new ways for people to exchange value, verify identity, and track ownership without middlemen.","Analytical,Innovative,Independent,Technical","systems,analytical,data,technical,independent,creative","$90k–$175k","Tech + Finance","https://www.onetonline.org/link/summary/15-1252.00","false"
"Photonics Engineer","Tech & Engineering","Science & Research,Healthcare & Medicine","You design devices that use light—like fiber optic cables, laser surgery tools, and smartphone cameras. Your innovations make the internet faster, medical procedures safer, and communication across continents possible.","Innovative,Analytical,Detail-oriented,Technical","analytical,systems,technical,creative,independent,data","$80k–$130k","Tech + Science","https://www.onetonline.org/link/summary/17-2199.07","false"
"DevOps Engineer","Tech & Engineering","","You build the automated pipelines that let software teams release new features and fixes quickly without breaking anything. Your systems connect coding, testing, and deployment so apps can update seamlessly while users sleep.","Systematic,Collaborative,Problem-solver,Technical","systems,analytical,technical,fast,independent,problem-solving","$85k–$150k","","https://www.onetonline.org/link/summary/15-1244.00","false"
"Wayfinding Designer","Design & Creative","Tech & Engineering, Environment & Sustainability","You design the signs, maps, and visual systems that help people navigate airports, hospitals, and cities without getting lost. Your work combines psychology, graphic design, and architecture to create intuitive pathways through complex spaces.","Spatial-thinker,Detail-oriented,Empathetic,Analytical","visual,systems,creative,independent,analytical,problem-solving,spatial","$55k–$95k","Design + Architecture","https://www.onetonline.org/link/summary/27-1024.00","false"
"Exhibit Designer","Design & Creative","Education & Coaching, Arts & Performance","You create immersive museum exhibits, trade show displays, and interactive installations that tell stories and educate visitors. Your job blends storytelling, architecture, and hands-on building to transform empty spaces into memorable experiences.","Creative,Collaborative,Detail-oriented,Curious","visual,hands-on,creative,systems,storytelling,spatial,collaborative","$45k–$85k","Design + Education","https://www.onetonline.org/link/summary/27-1027.00","false"
"Color Specialist","Design & Creative","Fashion & Beauty, Business & Finance","You predict and select color palettes for products, fashion lines, and interiors, understanding how colors affect mood and purchasing decisions. Your expertise influences everything from car paint options to seasonal clothing collections.","Creative,Analytical,Trend-aware,Persuasive","visual,creative,analytical,trends,independent,research,aesthetic","$50k–$90k","Design + Marketing","https://www.onetonline.org/link/summary/27-1021.00","false"
"Packaging Designer","Design & Creative","Business & Finance, Environment & Sustainability","You design the boxes, bottles, and containers that protect products and catch consumers' eyes on store shelves. Your work balances brand storytelling, structural engineering, and increasingly, sustainable material choices.","Creative,Practical,Detail-oriented,Environmentally-conscious","visual,creative,hands-on,systems,problem-solving,sustainable,commercial","$48k–$82k","Design + Sustainability","https://www.onetonline.org/link/summary/27-1024.00","false"
"Theatrical Prop Designer","Design & Creative","Arts & Performance","You research, design, and build the objects actors handle on stage—from realistic food to magical artifacts that transform during performances. Your craft combines historical research, sculpting, and creative problem-solving under tight deadlines.","Resourceful,Creative,Collaborative,Detail-oriented","hands-on,creative,fast,collaborative,artistic,research,physical","$35k–$70k","","https://www.onetonline.org/link/summary/27-1027.00","false"
"Vehicle Wrap Designer","Design & Creative","Business & Finance","You create eye-catching vinyl graphics that transform cars, trucks, and buses into mobile advertisements or artistic statements. Your designs must work across complex 3D surfaces while maintaining brand impact from any angle.","Creative,Spatial-thinker,Technical,Detail-oriented","visual,creative,hands-on,commercial,technical,independent,spatial","$40k–$75k","Design + Marketing","https://www.onetonline.org/link/summary/27-1024.00","false"
"Footwear Designer","Design & Creative","Fashion & Beauty, Sports & Fitness","You sketch and develop shoe designs from concept to production, considering aesthetics, comfort, and manufacturing constraints. Your creations might end up on basketball courts, fashion runways, or everyday sidewalks.","Creative,Technical,Trend-aware,Persistent","visual,creative,hands-on,trends,physical,commercial,innovative","$55k–$110k","Design + Fashion","https://www.onetonline.org/link/summary/27-1022.00","false"
"Lighting Designer","Design & Creative","Arts & Performance, Tech & Engineering","You design lighting schemes that set the mood for concerts, theater productions, architectural spaces, and film sets. Your technical expertise with equipment combines with artistic vision to make spaces feel dramatic, cozy, or electric.","Technical,Creative,Collaborative,Adaptable","visual,creative,technical,collaborative,fast,artistic,systems","$45k–$95k","Design + Performance","https://www.onetonline.org/link/summary/27-1027.00","false"
"Toy Designer","Design & Creative","Business & Finance, Tech & Engineering","You invent and design toys and games that spark imagination in children, from plush characters to electronic gadgets. Your work involves prototyping, safety testing, and understanding child development and play patterns.","Playful,Creative,Safety-conscious,Innovative","creative,hands-on,innovative,playful,research,commercial,collaborative","$50k–$90k","Design + Child Development","https://www.onetonline.org/link/summary/27-1021.00","false"
"Tattoo Artist","Design & Creative","Arts & Performance","You create custom artwork and permanently ink designs onto clients' skin, turning their bodies into living canvases. Your work requires steady hands, artistic talent, and the ability to collaborate with clients on meaningful personal designs.","Artistic,Steady,Empathetic,Detail-oriented","creative,hands-on,artistic,people,independent,visual,physical","$30k–$80k","","https://www.onetonline.org/link/summary/27-1013.00","false"
"Environmental Graphic Designer","Design & Creative","Tech & Engineering, Business & Finance","You design the visual elements that become part of physical spaces—wall murals, floor graphics, and branded environments in offices and retail stores. Your work transforms blank walls and empty rooms into immersive brand experiences.","Spatial-thinker,Creative,Collaborative,Strategic","visual,creative,spatial,collaborative,commercial,systems,strategic","$55k–$100k","Design + Architecture","https://www.onetonline.org/link/summary/27-1024.00","false"
"Medical Illustrator","Design & Creative","Healthcare & Medicine, Science & Research","You create detailed illustrations of human anatomy, surgical procedures, and biological processes for medical textbooks, journals, and patient education. Your artwork helps doctors communicate complex health information and trains the next generation of surgeons.","Precise,Scientific,Artistic,Patient","visual,creative,scientific,detail-oriented,independent,research,technical","$55k–$100k","Design + Medicine","https://www.onetonline.org/link/summary/27-1013.00","false"
"Title Sequence Designer","Design & Creative","Media & Journalism, Arts & Performance","You create the opening credits and title sequences for films and TV shows, setting the visual tone before the story begins. Your motion graphics work combines typography, animation, and storytelling to hook audiences in the first moments.","Creative,Cinematic,Technical,Storytelling","visual,creative,storytelling,technical,fast,artistic,cinematic","$50k–$95k","Design + Film","https://www.onetonline.org/link/summary/27-1014.00","false"
"Instrument Designer","Design & Creative","Arts & Performance, Tech & Engineering","You design and craft musical instruments, combining acoustics, materials science, and artistry to create tools that musicians love. Your work might involve innovating new electronic instruments or perfecting traditional guitar designs.","Musical,Technical,Precise,Innovative","creative,hands-on,technical,artistic,independent,craftsmanship,innovative","$40k–$85k","Design + Music","https://www.onetonline.org/link/summary/27-1021.00","false"
"Book Cover Designer","Design & Creative","Media & Journalism, Business & Finance","You design the covers that make readers pick up books in stores or click on them online, distilling entire stories into single compelling images. Your work requires understanding genre expectations while creating fresh, eye-catching designs.","Creative,Literary,Strategic,Visual","visual,creative,commercial,storytelling,independent,trends,artistic","$42k–$78k","Design + Publishing","https://www.onetonline.org/link/summary/27-1024.00","false"
"Yacht Interior Designer","Design & Creative","Hospitality & Events","You design luxurious living spaces within the tight constraints of boat hulls, balancing elegance with maritime safety requirements. Your work transforms floating vessels into stunning homes that withstand ocean conditions.","Creative,Practical,Luxury-minded,Detail-oriented","visual,creative,luxury,spatial,technical,travel,exclusive","$60k–$120k","Design + Maritime","https://www.onetonline.org/link/summary/27-1025.00","false"
"Prosthetic Designer","Design & Creative","Healthcare & Medicine, Tech & Engineering","You design artificial limbs and body parts that restore function and confidence to people who've lost them, combining engineering precision with aesthetic sensitivity. Your creations help people walk, grip, and feel whole again.","Empathetic,Technical,Creative,Patient","creative,technical,hands-on,people,innovative,medical,meaningful","$55k–$95k","Design + Healthcare","https://www.onetonline.org/link/summary/27-1021.00","false"
"Food Stylist","Design & Creative","Media & Journalism, Hospitality & Events","You arrange and prepare food to look impossibly delicious for photographs, commercials, and film scenes. Your toolkit includes tweezers, blowtorches, and unusual tricks to make dishes camera-ready for hours under hot lights.","Creative,Detail-oriented,Resourceful,Calm","visual,creative,hands-on,fast,artistic,food,commercial","$40k–$85k","Design + Culinary","https://www.onetonline.org/link/summary/27-1027.00","false"
"Typeface Designer","Design & Creative","Tech & Engineering","You create new fonts and typefaces, designing every letter, number, and symbol with perfect balance and personality. Your typography might appear on millions of screens, in books, or become the signature look of major brands.","Detail-oriented,Patient,Historical,Technical","visual,creative,technical,independent,detail-oriented,systems,artistic","$55k–$100k","","https://www.onetonline.org/link/summary/27-1024.00","false"
"Storyboard Artist","Design & Creative","Media & Journalism, Arts & Performance","You draw sequential illustrations that map out scenes before they're filmed or animated, serving as the visual blueprint for directors. Your sketches help entire production teams understand camera angles, action, and pacing before shooting begins.","Cinematic,Quick-sketching,Collaborative,Storytelling","visual,creative,fast,collaborative,storytelling,artistic,cinematic","$50k–$100k","Design + Film","https://www.onetonline.org/link/summary/27-1013.00","false"
"Actuary","Business & Finance","Science & Research","You use math and statistics to predict the financial cost of risk and uncertainty for insurance companies and businesses. Your calculations help determine everything from insurance premiums to pension plans, protecting millions of people's financial futures.","Analytical,Detail-oriented,Patient,Logical","data,analytical,systems,independent,calm,problem-solving","$77k–$153k","Finance + Math","https://www.bls.gov/ooh/math/actuaries.htm","false"
"Forensic Accountant","Business & Finance","Law & Government","You investigate financial crimes by digging through records to uncover fraud, embezzlement, and money laundering schemes. Your detective work with numbers helps law enforcement build cases and brings financial criminals to justice.","Investigative,Detail-oriented,Ethical,Persistent","analytical,data,systems,independent,writing,problem-solving","$60k–$125k","Finance + Law","https://www.onetonline.org/link/summary/13-2011.01","false"
"Credit Analyst","Business & Finance","","You evaluate whether individuals or businesses are likely to repay their loans by analyzing their financial history and current situation. Your recommendations help banks decide who gets approved for mortgages, business loans, and credit cards.","Analytical,Decisive,Detail-oriented,Objective","data,analytical,systems,independent,calm,decision-making","$50k–$100k","","https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm","false"
"Compensation and Benefits Manager","Business & Finance","","You design pay structures and benefits packages that help companies attract and keep talented employees happy. Your work balances what's fair for workers with what companies can afford, impacting thousands of people's livelihoods.","Strategic,Empathetic,Analytical,Diplomatic","people,systems,leadership,analytical,data,communication","$90k–$175k","","https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm","false"
"Venture Capital Analyst","Business & Finance","Entrepreneurship,Tech & Engineering","You scout for promising startup companies and analyze whether they're worth investing millions of dollars in. Your research and instincts help decide which new businesses get funded and could become the next big thing.","Curious,Risk-tolerant,Analytical,Networker","fast,analytical,people,travel,leadership,data","$80k–$150k","Finance + Startups","https://www.onetonline.org/link/summary/13-2051.00","false"
"Logistics Analyst","Business & Finance","Tech & Engineering","You figure out the most efficient ways to move products from factories to customers, saving companies millions in shipping costs. Your optimization skills keep global supply chains running smoothly so people get what they ordered on time.","Systematic,Problem-solver,Analytical,Adaptable","systems,analytical,data,fast,problem-solving,global","$52k–$95k","Business + Tech","https://www.bls.gov/ooh/business-and-financial/logisticians.htm","false"
"Budget Analyst","Business & Finance","Law & Government","You help organizations plan how to spend their money wisely by developing budgets and monitoring spending throughout the year. Your work ensures schools, hospitals, and government agencies can fund their most important programs.","Organized,Analytical,Communicative,Practical","data,analytical,systems,writing,calm,independent","$55k–$100k","","https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm","false"
"Mergers and Acquisitions Analyst","Business & Finance","","You analyze whether companies should buy, merge with, or sell parts of other businesses by valuing companies worth millions or billions. Your financial models help shape deals that transform entire industries.","Ambitious,Analytical,Detail-oriented,Resilient","fast,analytical,data,systems,high-pressure,teamwork","$85k–$175k","","https://www.onetonline.org/link/summary/13-2051.00","false"
"Sports Business Analyst","Business & Finance","Sports & Fitness","You analyze financial data for sports teams, leagues, and athletic brands to help them make smarter business decisions. Your insights influence everything from ticket pricing to player contract negotiations worth millions.","Analytical,Sports-minded,Strategic,Detail-oriented","data,analytical,sports,systems,fast,creative","$55k–$110k","Sports + Finance","https://www.onetonline.org/link/summary/13-1161.00","false"
"Real Estate Appraiser","Business & Finance","","You determine how much properties are actually worth by inspecting buildings and analyzing local market conditions. Your valuations help people make informed decisions about buying homes and help banks decide on mortgage amounts.","Observant,Independent,Analytical,Fair-minded","independent,analytical,travel,visual,data,hands-on","$40k–$85k","","https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm","false"
"Sustainability Accountant","Business & Finance","Environment & Sustainability","You track and report on companies' environmental impact alongside their financial performance, measuring carbon footprints and resource usage. Your work helps businesses prove they're actually meeting their green promises.","Ethical,Analytical,Detail-oriented,Forward-thinking","data,analytical,systems,writing,purpose-driven,sustainability","$60k–$110k","Finance + Environment","https://www.onetonline.org/link/summary/13-2011.00","false"
"Insurance Underwriter","Business & Finance","","You decide whether to approve insurance applications and set the prices for coverage by evaluating how risky someone or something is to insure. Your judgment calls protect insurance companies from losses while helping people get the coverage they need.","Analytical,Decisive,Detail-oriented,Objective","analytical,data,independent,systems,calm,decision-making","$55k–$100k","","https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm","false"
"Management Analyst","Business & Finance","","You study how organizations operate and recommend ways to become more efficient and profitable. Your advice helps companies solve problems, cut costs, and compete better in their industries.","Strategic,Communicative,Analytical,Adaptable","analytical,people,systems,travel,writing,leadership","$60k–$130k","","https://www.bls.gov/ooh/business-and-financial/management-analysts.htm","false"
"Financial Examiner","Business & Finance","Law & Government","You inspect banks and financial institutions to make sure they're following laws and not taking dangerous risks with people's money. Your oversight helps prevent financial crises and protects consumers from shady practices.","Ethical,Thorough,Analytical,Authoritative","analytical,systems,data,independent,writing,regulatory","$65k–$130k","Finance + Law","https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm","false"
"Purchasing Manager","Business & Finance","","You negotiate deals and decide what products and supplies companies should buy, managing relationships with vendors worldwide. Your decisions can save organizations millions of dollars while ensuring they get quality materials on time.","Negotiator,Strategic,Decisive,Relationship-builder","people,leadership,analytical,negotiation,systems,global","$70k–$145k","","https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm","false"
"Quantitative Analyst","Business & Finance","Tech & Engineering,Science & Research","You build complex mathematical models that predict market behavior and help traders make split-second investment decisions. Your algorithms process massive amounts of data to find patterns humans could never spot.","Mathematical,Innovative,Analytical,Precise","data,analytical,systems,independent,coding,fast","$100k–$200k","Finance + Tech","https://www.onetonline.org/link/summary/15-2051.00","false"
"Fundraising Manager","Business & Finance","Social Impact & Nonprofit","You plan campaigns and events to raise money for nonprofits, universities, and charitable causes. Your persuasion skills and relationship-building help organizations fund life-changing programs and missions.","Persuasive,Empathetic,Strategic,Energetic","people,leadership,creative,writing,purpose-driven,events","$60k–$125k","Finance + Nonprofit","https://www.bls.gov/ooh/management/administrative-services-managers.htm","false"
"Cost Estimator","Business & Finance","Tech & Engineering","You calculate how much it will cost to manufacture products or complete construction projects before work even begins. Your estimates help companies bid on contracts and decide whether projects are financially worthwhile.","Detail-oriented,Analytical,Practical,Methodical","analytical,data,systems,hands-on,visual,technical","$50k–$95k","Finance + Engineering","https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm","false"
"Entertainment Business Manager","Business & Finance","Arts & Performance,Media & Journalism","You manage the money for actors, musicians, and other entertainers, handling everything from tax planning to investment strategies. Your financial guidance helps creative people protect and grow their earnings throughout unpredictable careers.","Trustworthy,Organized,Communicative,Discreet","people,analytical,creative,systems,relationship-building,entertainment","$65k–$150k","Finance + Entertainment","https://www.onetonline.org/link/summary/13-2052.00","false"
"Compliance Officer","Business & Finance","Law & Government","You make sure companies follow all the laws and regulations in their industry, from data privacy to financial reporting rules. Your vigilance protects organizations from massive fines and keeps them operating ethically.","Ethical,Detail-oriented,Communicative,Vigilant","systems,analytical,writing,people,regulatory,independent","$55k–$115k","Business + Law","https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm","false"
"Genetic Counselor","Healthcare & Medicine","Science & Research, Education & Coaching","You help patients understand their genetic test results and assess their risk for inherited conditions like cancer or heart disease. You guide families through difficult decisions about their health while translating complex science into clear, compassionate conversations.","Empathetic,Analytical,Patient,Detail-oriented","people,analytical,calm,communication,data,systems,counseling","$89k–$107k","Science + Counseling","https://www.bls.gov/ooh/healthcare/genetic-counselors.htm","false"
"Orthotist and Prosthetist","Healthcare & Medicine","Tech & Engineering, Design & Creative","You design and build custom artificial limbs and supportive braces that help people walk, run, or use their hands again after injuries or illness. You combine 3D scanning technology with hands-on craftsmanship to restore mobility and independence.","Creative,Technical,Patient,Problem-solver","hands-on,creative,technical,people,visual,independent,craftsmanship","$75k–$98k","Engineering + Healthcare","https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm","false"
"Perfusionist","Healthcare & Medicine","Tech & Engineering","You operate the heart-lung machine during open-heart surgery, literally keeping patients alive while surgeons work on their hearts. You monitor blood flow, oxygen levels, and temperature with precision while staying calm under life-or-death pressure.","Calm,Detail-oriented,Technical,Quick-thinking","technical,calm,fast,systems,data,hands-on,high-stakes","$95k–$150k","","https://www.onetonline.org/link/summary/29-2031.00","false"
"Music Therapist","Healthcare & Medicine","Arts & Performance, Education & Coaching","You use music to help patients recover from trauma, manage pain, or cope with conditions like autism and dementia. You might lead drumming circles in psychiatric units or help stroke survivors relearn speech through singing.","Creative,Empathetic,Patient,Adaptable","creative,people,calm,therapeutic,music,emotional,independent","$52k–$77k","Music + Therapy","https://www.onetonline.org/link/summary/29-1129.02","false"
"Dosimetrist","Healthcare & Medicine","Science & Research, Tech & Engineering","You calculate the exact radiation doses needed to destroy cancer tumors while protecting healthy tissue. You work with physicists and oncologists to create treatment plans that can mean the difference between life and death.","Analytical,Precise,Technical,Collaborative","analytical,data,systems,technical,calm,detail-focused,medical","$95k–$130k","Physics + Medicine","https://www.onetonline.org/link/summary/29-2035.00","false"
"Recreational Therapist","Healthcare & Medicine","Sports & Fitness, Social Impact & Nonprofit","You plan activities like adaptive sports, art projects, and outdoor adventures to help people recover from injuries or manage disabilities. You might teach veterans with PTSD to kayak or help nursing home residents stay mentally sharp through games.","Creative,Energetic,Empathetic,Resourceful","people,creative,physical,outdoor,therapeutic,active,planning","$42k–$62k","Sports + Therapy","https://www.bls.gov/ooh/healthcare/recreational-therapists.htm","false"
"Biomedical Equipment Technician","Healthcare & Medicine","Tech & Engineering","You repair and maintain the complex medical equipment hospitals depend on, from MRI machines to ventilators and heart monitors. When equipment fails in an ICU, you're the one who fixes it fast to keep patients safe.","Technical,Problem-solver,Calm,Detail-oriented","technical,hands-on,systems,fast,independent,problem-solving,mechanical","$52k–$78k","Tech + Healthcare","https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm","false"
"Health Informatics Specialist","Healthcare & Medicine","Tech & Engineering, Business & Finance","You bridge the gap between healthcare and technology by managing electronic health records and analyzing patient data to improve care. You help hospitals use data to spot disease outbreaks, reduce errors, and save lives.","Analytical,Technical,Organized,Collaborative","data,systems,analytical,technical,organized,communication,digital","$62k–$115k","Tech + Healthcare","https://www.onetonline.org/link/summary/15-1211.01","false"
"Audiologist","Healthcare & Medicine","Tech & Engineering, Education & Coaching","You diagnose hearing loss and balance disorders, then fit patients with hearing aids or cochlear implants that change their lives. You might help a child hear their parent's voice for the first time or restore an elderly veteran's ability to enjoy conversations.","Patient,Technical,Empathetic,Detail-oriented","people,technical,calm,diagnostic,hands-on,communication,therapeutic","$82k–$102k","","https://www.bls.gov/ooh/healthcare/audiologists.htm","false"
"Surgical Technologist","Healthcare & Medicine","","You prepare operating rooms for surgery, sterilize equipment, and hand instruments to surgeons during procedures. You're part of the team that makes life-saving operations possible, staying focused through hours-long surgeries.","Focused,Detail-oriented,Quick,Team-oriented","hands-on,fast,detail-focused,calm,team,physical,technical","$52k–$72k","","https://www.bls.gov/ooh/healthcare/surgical-technologists.htm","false"
"Epidemiologist","Healthcare & Medicine","Science & Research, Law & Government","You investigate disease outbreaks like a medical detective, tracking how illnesses spread through populations and figuring out how to stop them. Your work shapes public health policies that protect millions of people from pandemics and health crises.","Analytical,Curious,Methodical,Big-picture thinker","analytical,data,research,systems,investigative,writing,public-health","$78k–$126k","Science + Policy","https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm","false"
"Art Therapist","Healthcare & Medicine","Arts & Performance, Social Impact & Nonprofit","You help patients express emotions and process trauma through painting, drawing, and sculpting when words aren't enough. You work with everyone from children with autism to veterans with PTSD, using creativity as a path to healing.","Creative,Empathetic,Patient,Observant","creative,people,calm,visual,therapeutic,emotional,independent","$50k–$72k","Art + Therapy","https://www.onetonline.org/link/summary/29-1129.01","false"
"Radiation Therapist","Healthcare & Medicine","Tech & Engineering","You operate specialized machines that deliver targeted radiation to cancer patients, carefully positioning them and monitoring treatment. You build relationships with patients you see daily for weeks, supporting them through one of the hardest times of their lives.","Precise,Compassionate,Technical,Calm","technical,people,calm,hands-on,precise,therapeutic,routine","$82k–$107k","","https://www.bls.gov/ooh/healthcare/radiation-therapists.htm","false"
"Forensic Nurse","Healthcare & Medicine","Law & Government, Science & Research","You provide medical care to victims of violence and crime while collecting evidence that can be used in court. You might examine assault survivors, photograph injuries, or testify as an expert witness to help bring perpetrators to justice.","Compassionate,Detail-oriented,Resilient,Objective","people,investigative,detail-focused,calm,legal,documentation,high-stakes","$70k–$95k","Nursing + Law","https://www.onetonline.org/link/summary/29-1141.03","false"
"Cytotechnologist","Healthcare & Medicine","Science & Research","You examine cells under microscopes to detect cancer and other diseases before symptoms even appear. Your sharp eye catches the tiny cellular changes that lead to early diagnoses and saved lives.","Detail-oriented,Patient,Analytical,Focused","analytical,visual,independent,detail-focused,laboratory,precise,diagnostic","$60k–$85k","","https://www.onetonline.org/link/summary/29-2011.01","false"
