id,title,from_primary,from_secondary,to_primary,to_secondary
4fdd3728-84d4-40b8-ae8e-1d1afbff3c81,Color Grading Technician (Beauty Retail),Fashion & Beauty,"Design & Creative,Tech & Engineering",Media & Journalism,"Fashion & Beauty,Design & Creative,Tech & Engineering"
4134df2c-97ab-40cf-8c3c-de9d9ff4f8a7,Debate Tournament Director,Education & Coaching,"Hospitality & Events,Law & Government",Supply Chain & Operations,"Education & Coaching,Hospitality & Events,Law & Government"
50e02e94-377d-426e-b983-82e3a5f6c711,Destination Wedding Designer,Hospitality & Events,"Design & Creative,Entrepreneurship",Supply Chain & Operations,"Hospitality & Events,Design & Creative,Entrepreneurship"
be9bb7dd-a5b2-49db-8541-a4dd6bbebbdc,Development Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
9910e037-04c0-4d47-8b92-939d135cbe17,Documentary Distributor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Media & Journalism,"Gaming & Esports,Tech & Engineering,Marketing & Communications"
c72e4ab1-5f4d-407e-bf1b-bab5aacc74a0,Eyebrow Specialist,Supply Chain & Operations,"Business & Finance,Tech & Engineering",Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering"
c36b0de3-69e7-4bf2-9722-813eab8b0bbf,Footwear Designer,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
db8733e2-91fc-40c1-927e-9b3f4ebc1f26,Freight Brokerage Owner,Entrepreneurship,Business & Finance,Supply Chain & Operations,"Entrepreneurship,Business & Finance"
6b3fd27c-d81a-4e17-9b8d-597033114c4f,Growth Hacker,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Marketing & Communications,"Cybersecurity,Tech & Engineering,Law & Government,Science & Research"
8621f068-4dd2-4265-929a-572b6b5f6406,High School Principal,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Law & Government",Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Law & Government"
7e18a4bc-ec97-431a-a1d2-ea098b95216f,Homelessness Services Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
267ae409-c75c-40fe-b2f2-1b8e50de2c88,Human Trafficking Prevention Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Cybersecurity",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Cybersecurity"
9b223863-5337-4dbf-bfa0-d9f7b11afeba,Hyperlocal Delivery Service Operator,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations,"Entrepreneurship,Tech & Engineering,Business & Finance"
35ff7cda-81c9-43fb-aefc-458d9e9d50c4,Incubator Program Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Entrepreneurship",Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Entrepreneurship"
3f230d4a-c3c5-4fc6-b8eb-95a3caafcb63,K-12 School Principal,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Law & Government",Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Law & Government"
6207a784-617a-4422-a68c-f0bfaa9e3716,Live Streaming Production Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Media & Journalism,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
a8037472-24c4-48b3-aefa-eb4ac4299140,Municipal Planning Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Architecture & Urban Planning,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
2b53168c-6cb7-47c9-a832-90e7385d70ee,Personal Training Business Owner,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Sports & Fitness,"Marketing & Communications,Business & Finance,Design & Creative,Science & Research"
e306a29d-e82b-4337-8bec-071433f2f513,Study Abroad Program Coordinator,Education & Coaching,"Hospitality & Events,Business & Finance",Supply Chain & Operations,"Education & Coaching,Hospitality & Events,Business & Finance"
fdb0c736-63d4-4877-bf66-11c4b709072d,Sustainable Apparel Designer,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Fashion & Beauty,"Environment & Sustainability,Science & Research,Law & Government,Tech & Engineering"
365887f9-96f8-4a05-a3bc-2c213dce3c78,Volunteer Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
cab2cacd-a9e4-4f69-9695-bb1f85a6f095,Youth Sports Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
cbd89142-4422-4415-b34e-4dd45bd80ff3,Patient Advocate,Social Impact & Nonprofit,"Education & Coaching,Law & Government",Healthcare & Medicine,"Social Impact & Nonprofit,Education & Coaching,Law & Government"
adf3485e-cef2-4277-92b8-9ac975e79738,Financial Crime Technology Specialist,Business & Finance,"Cybersecurity,Law & Government",Tech & Engineering,"Business & Finance,Cybersecurity,Law & Government"
d2b40242-074e-4c8a-a770-011abd3adb34,Golf Instructor,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Media & Journalism"
15120114-3c8b-488e-bb84-25ed57d2574b,Healthcare Access Advocate,Social Impact & Nonprofit,"Law & Government,Education & Coaching",Healthcare & Medicine,"Social Impact & Nonprofit,Law & Government,Education & Coaching"
1eb18120-dec5-414f-a207-f4a38369b765,Pop-Up Shop Creator,Entrepreneurship,"Design & Creative,Hospitality & Events",Supply Chain & Operations,"Entrepreneurship,Design & Creative,Hospitality & Events"
45a76936-4e3f-4080-afff-4ac3a968acb9,Youth Development Specialist,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
