desc_similarity,career_a,primary_a,career_b,primary_b,secondary_a,secondary_b,salary_a,salary_b
0.85,Sports Therapist,Gaming & Esports,Physical Therapist (Sports),Sports & Fitness,"Tech & Engineering,Marketing & Communications,Media & Journalism","Healthcare & Medicine,Education & Coaching",$48k–$77k,$60k–$95k
0.85,Conference Planner,Supply Chain & Operations,Conference Operations Director,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Education & Coaching",$45k–$75k,$45k–$75k
0.842,Pharmaceutical Quality Assurance Analyst,Supply Chain & Operations,Quality Assurance Analyst (Pharmaceutical),Science & Research,"Business & Finance,Tech & Engineering,Science & Research","Healthcare & Medicine,Tech & Engineering",$48k–$77k,$58k–$95k
0.81,Live Event Producer,Supply Chain & Operations,Live Events Producer,Arts & Performance,"Business & Finance,Tech & Engineering,Science & Research","Hospitality & Events,Design & Creative",$45k–$85k,$45k–$85k
0.8,Makeup Effects Artist,Hospitality & Events,Makeup Effects Technician,Fashion & Beauty,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning","Arts & Performance,Hospitality & Events",$35k–$85k,$35k–$75k
0.792,Grant Writer (Journalism),Science & Research,Grant Writing Specialist (Journalism),Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Media & Journalism","Social Impact & Nonprofit,Business & Finance",$48k–$77k,$48k–$77k
0.789,Volunteer Coordinator (Nonprofit),Social Impact & Nonprofit,Volunteer Management Specialist,Gaming & Esports,"Education & Coaching,Hospitality & Events","Tech & Engineering,Marketing & Communications,Science & Research",$35k–$55k,$37k–$63k
0.778,Conference Center Director,Hospitality & Events,Conference Center Manager,Supply Chain & Operations,"Business & Finance,Entrepreneurship","Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
0.778,Renewable Energy Systems Engineer,Tech & Engineering,Renewable Energy Engineer,Environment & Sustainability,"Environment & Sustainability,Science & Research","Science & Research,Law & Government,Tech & Engineering",$60k–$105k,$60k–$105k
0.778,Wig & Hairpiece Designer,Science & Research,Wig and Hairpiece Designer,Fashion & Beauty,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Design & Creative,Arts & Performance",$35k–$65k,$35k–$65k
0.773,Puppetry Director,Science & Research,Puppetry Performance Director,Arts & Performance,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Education & Coaching,Hospitality & Events",$35k–$65k,$35k–$65k
0.762,Destination Management Company Operator,Hospitality & Events,Destination Management Company Owner,Supply Chain & Operations,"Business & Finance,Entrepreneurship","Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$85k
0.75,Art Restorer,Supply Chain & Operations,Restoration Conservator (Fine Art),Arts & Performance,"Business & Finance,Tech & Engineering,Science & Research","Education & Coaching,Science & Research",$35k–$65k,$35k–$65k
0.75,Mediation Officer,Law & Government,Mediation Specialist,Media & Journalism,"Social Impact & Nonprofit,Business & Finance","Marketing & Communications,Arts & Performance,Law & Government",$45k–$75k,$48k–$77k
0.75,Volunteer Manager,Social Impact & Nonprofit,Volunteer Engagement Manager,Gaming & Esports,"Education & Coaching,Law & Government,Science & Research","Tech & Engineering,Marketing & Communications,Science & Research",$38k–$58k,$38k–$58k
0.75,IT Security Specialist,Cybersecurity,IT Security Analyst,Tech & Engineering,"Tech & Engineering,Law & Government,Science & Research","Law & Government,Business & Finance",$65k–$120k,$65k–$120k
0.75,Referee,Gaming & Esports,Umpire/Referee,Sports & Fitness,"Tech & Engineering,Marketing & Communications,Science & Research","Education & Coaching,Law & Government",$30k–$65k,$30k–$65k
0.75,Data Security Engineer,Tech & Engineering,Network Security Specialist,Cybersecurity,"Business & Finance,Law & Government","Tech & Engineering,Law & Government,Science & Research",$70k–$130k,$65k–$130k
0.75,Volunteer Program Director,Social Impact & Nonprofit,Volunteer Engagement Manager,Gaming & Esports,"Education & Coaching,Hospitality & Events","Tech & Engineering,Marketing & Communications,Science & Research",$40k–$65k,$38k–$58k
0.739,Game Narrative Designer,Design & Creative,Video Game Narrative Designer,Gaming & Esports,"Media & Journalism,Tech & Engineering","Tech & Engineering,Marketing & Communications,Media & Journalism",$65k–$110k,$60k–$95k
0.739,Genetic Counselor (Medical),Healthcare & Medicine,Genetic Testing Counselor,Supply Chain & Operations,"Science & Research,Tech & Engineering,Social Impact & Nonprofit","Business & Finance,Tech & Engineering,Science & Research",$60k–$95k,$55k–$85k
0.739,Theme Park Operations Manager,Supply Chain & Operations,Theme Park Operations Director,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Entrepreneurship",$48k–$77k,$50k–$85k
0.727,Event Planner (Corporate),Marketing & Communications,Corporate Event Manager,Supply Chain & Operations,"Business & Finance,Design & Creative,Science & Research","Business & Finance,Tech & Engineering,Science & Research",$48k–$77k,$48k–$77k
0.727,Makeup Artist (Film & TV),Gaming & Esports,Makeup Artist (Film/TV),Fashion & Beauty,"Tech & Engineering,Marketing & Communications,Media & Journalism","Design & Creative,Marketing & Communications,Arts & Performance",$35k–$75k,$35k–$75k
0.727,Machine Learning Operations Manager,Tech & Engineering,Machine Learning Operations Engineer,Fashion & Beauty,"Business & Finance,Science & Research","Design & Creative,Marketing & Communications,Science & Research",$85k–$150k,$85k–$150k
0.722,Product Security Engineer,Tech & Engineering,Vulnerability Researcher,Cybersecurity,"Science & Research,Law & Government","Tech & Engineering,Law & Government,Science & Research",$80k–$160k,$80k–$160k
0.72,Data Scientist (Academic),Environment & Sustainability,Data Scientist (Academic Research),Science & Research,"Science & Research,Law & Government,Tech & Engineering","Tech & Engineering,Education & Coaching",$65k–$120k,$65k–$120k
0.714,Conference Planner (Corporate),Hospitality & Events,Conference Planner,Supply Chain & Operations,"Business & Finance,Media & Journalism","Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
0.706,Orthopedic Sports Specialist,Sports & Fitness,Occupational Sports Medicine Physician,Gaming & Esports,"Healthcare & Medicine,Education & Coaching","Tech & Engineering,Marketing & Communications,Media & Journalism",$65k–$115k,$100k–$200k
0.706,Nutrition Specialist (Sports),Sports & Fitness,Sports Nutritionist,Food & Culinary,"Healthcare & Medicine,Science & Research","Hospitality & Events,Business & Finance,Science & Research",$45k–$75k,$45k–$75k
0.7,Constitutional Law Attorney,Social Impact & Nonprofit,Constitutional Law Advocate,Law & Government,"Education & Coaching,Law & Government,Business & Finance","Media & Journalism,Social Impact & Nonprofit",$70k–$150k,$85k–$175k
0.7,Fact Checker (Digital Media),Science & Research,Fact-Checker (Online),Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Tech & Engineering,Law & Government",$45k–$75k,$45k–$75k
0.7,Sommelier (Wine Professional),Food & Culinary,Certified Sommelier,Hospitality & Events,"Hospitality & Events,Business & Finance,Science & Research","Business & Finance,Education & Coaching",$35k–$85k,$40k–$75k
0.696,Clinical Laboratory Director,Supply Chain & Operations,Clinical Lab Director,Healthcare & Medicine,"Business & Finance,Tech & Engineering,Science & Research","Science & Research,Business & Finance",$78k–$126k,$75k–$120k
0.696,Conference Coordinator,Supply Chain & Operations,Conference Logistics Manager,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Education & Coaching",$42k–$72k,$45k–$75k
0.696,Clinical Laboratory Technologist,Science & Research,Medical Laboratory Scientist,Healthcare & Medicine,"Healthcare & Medicine,Education & Coaching","Science & Research,Tech & Engineering",$38k–$58k,$38k–$58k
0.684,Wig Designer & Technician,Fashion & Beauty,Wig & Hairpiece Designer,Science & Research,"Arts & Performance,Design & Creative","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$32k–$65k,$35k–$65k
0.684,Conference Services Director,Hospitality & Events,Conference Center Manager,Supply Chain & Operations,"Business & Finance,Education & Coaching","Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
0.682,UX/UI Strategist,Design & Creative,User Experience Designer,Science & Research,"Tech & Engineering,Business & Finance","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$65k–$120k,$65k–$110k
0.682,Medical Device Salesperson,Entrepreneurship,Medical Device Sales Specialist,Healthcare & Medicine,"Business & Finance,Tech & Engineering,Architecture & Urban Planning","Business & Finance,Science & Research",$45k–$120k,$45k–$120k
0.682,Clinical Laboratory Technologist,Science & Research,Clinical Laboratory Scientist,Healthcare & Medicine,"Healthcare & Medicine,Education & Coaching","Science & Research,Tech & Engineering",$38k–$58k,$40k–$70k
0.667,Conference Manager,Supply Chain & Operations,Conference Organizer,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Media & Journalism",$45k–$75k,$45k–$75k
0.667,Conflict Resolution Mediator,Law & Government,Mediation Specialist,Media & Journalism,"Education & Coaching,Social Impact & Nonprofit","Marketing & Communications,Arts & Performance,Law & Government",$45k–$75k,$48k–$77k
0.667,Textile Quality Inspector,Marketing & Communications,Textile Quality Control Inspector,Fashion & Beauty,"Business & Finance,Design & Creative,Media & Journalism","Science & Research,Tech & Engineering",$30k–$45k,$30k–$45k
0.667,Mediation and Conflict Resolution Specialist,Law & Government,Mediation Specialist,Media & Journalism,"Social Impact & Nonprofit,Business & Finance","Marketing & Communications,Arts & Performance,Law & Government",$45k–$75k,$48k–$77k
0.667,Conference Planner,Supply Chain & Operations,Conference & Convention Planner,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Design & Creative",$45k–$75k,$45k–$75k
0.667,Homeless Services Manager,Social Impact & Nonprofit,Homeless Services Director,Gaming & Esports,"Healthcare & Medicine,Law & Government","Tech & Engineering,Marketing & Communications,Science & Research",$45k–$65k,$45k–$75k
0.667,Data Scientist (Academic),Environment & Sustainability,Data Scientist (Academia),Science & Research,"Science & Research,Law & Government,Tech & Engineering","Tech & Engineering,Education & Coaching",$65k–$120k,$65k–$120k
0.654,Environmental Health Researcher,Science & Research,Environmental Health Scientist,Environment & Sustainability,"Environment & Sustainability,Healthcare & Medicine","Science & Research,Law & Government,Tech & Engineering",$60k–$105k,$58k–$95k
0.654,Media Buyer,Marketing & Communications,Media Buyer (Advertising),Media & Journalism,"Business & Finance,Design & Creative,Science & Research","Business & Finance,Design & Creative",$50k–$95k,$45k–$85k
0.652,Virtual Reality Content Creator,Tech & Engineering,Virtual Reality Experience Artist,Arts & Performance,"Design & Creative,Arts & Performance","Design & Creative,Tech & Engineering",$55k–$95k,$50k–$85k
0.652,Medical Device Sales Representative,Entrepreneurship,Medical Device Sales Specialist,Healthcare & Medicine,"Business & Finance,Tech & Engineering,Architecture & Urban Planning","Business & Finance,Science & Research",$45k–$120k,$45k–$120k
0.652,AI/ML Operations Engineer,Tech & Engineering,Machine Learning Operations Engineer,Fashion & Beauty,"Business & Finance,Science & Research","Design & Creative,Marketing & Communications,Science & Research",$85k–$150k,$85k–$150k
0.65,Personal Color Analyst,Fashion & Beauty,Color Analysis Consultant,Supply Chain & Operations,"Design & Creative,Marketing & Communications","Business & Finance,Tech & Engineering,Fashion & Beauty",$35k–$75k,$35k–$65k
0.65,Advocacy Director (Nonprofit),Social Impact & Nonprofit,Advocacy Campaign Manager,Gaming & Esports,"Law & Government,Media & Journalism","Tech & Engineering,Marketing & Communications,Science & Research",$45k–$75k,$40k–$65k
0.65,Quality Control Analyst (Pharma),Science & Research,Pharmaceutical Quality Assurance Analyst,Supply Chain & Operations,"Healthcare & Medicine,Tech & Engineering","Business & Finance,Tech & Engineering,Science & Research",$52k–$85k,$48k–$77k
0.65,Puppetry Therapist,Healthcare & Medicine,Puppet Therapist,Arts & Performance,"Science & Research,Tech & Engineering","Healthcare & Medicine,Education & Coaching",$35k–$65k,$35k–$60k
0.636,Mediator (Civil Conflict Resolution),Law & Government,Mediation Specialist,Media & Journalism,"Education & Coaching,Social Impact & Nonprofit","Marketing & Communications,Arts & Performance,Law & Government",$45k–$75k,$48k–$77k
0.636,Convention Center Director,Hospitality & Events,Conference Center Manager,Supply Chain & Operations,Business & Finance,"Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
0.636,Catering Director,Food & Culinary,Event Catering Director,Hospitality & Events,"Hospitality & Events,Business & Finance,Science & Research","Business & Finance,Design & Creative",$45k–$75k,$45k–$75k
0.636,Puppetry Director,Science & Research,Puppetry Director (Theater),Arts & Performance,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Education & Coaching,Hospitality & Events",$35k–$65k,$35k–$65k
0.636,Experience Architect (UX),Design & Creative,User Experience Designer,Science & Research,"Tech & Engineering,Business & Finance","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$65k–$120k,$65k–$110k
0.636,User Experience (UX) Designer,Science & Research,Experience Architect (UX),Design & Creative,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Tech & Engineering,Business & Finance",$65k–$120k,$65k–$120k
0.632,Volunteer Coordinator (Nonprofit),Social Impact & Nonprofit,Volunteer Engagement Manager,Gaming & Esports,"Education & Coaching,Hospitality & Events","Tech & Engineering,Marketing & Communications,Science & Research",$35k–$55k,$38k–$58k
0.632,Merger and Acquisition Specialist,Business & Finance,Mergers & Acquisitions Specialist,Science & Research,"Entrepreneurship,Law & Government","Healthcare & Medicine,Tech & Engineering",$100k–$200k,$100k–$200k
0.632,Education Access Advocate,Gaming & Esports,Education Justice Advocate,Social Impact & Nonprofit,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning","Law & Government,Education & Coaching",$45k–$75k,$45k–$75k
0.632,Nutrition Coach (Athletes),Sports & Fitness,Sports Nutritionist,Food & Culinary,"Healthcare & Medicine,Education & Coaching","Hospitality & Events,Business & Finance,Science & Research",$40k–$75k,$45k–$75k
0.63,Actuarial Scientist,Business & Finance,Actuarial Analyst,Fashion & Beauty,"Tech & Engineering,Science & Research","Design & Creative,Marketing & Communications,Science & Research",$100k–$180k,$60k–$120k
0.619,Housekeeping Manager,Supply Chain & Operations,Housekeeping Manager (Hospitality),Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Social Impact & Nonprofit",$35k–$65k,$35k–$55k
0.619,Fact Checker (Digital Media),Science & Research,Content Fact-Checker,Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Law & Government,Tech & Engineering",$45k–$75k,$45k–$75k
0.619,Conference Planner,Supply Chain & Operations,Conference Event Director,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Food & Culinary,Marketing & Communications,Science & Research",$45k–$75k,$45k–$75k
0.619,Conference Planner,Supply Chain & Operations,Conference Services Director,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Education & Coaching",$45k–$75k,$45k–$75k
0.619,Conference Planner,Supply Chain & Operations,Conference Center Director,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Entrepreneurship",$45k–$75k,$45k–$75k
0.611,Biotechnology Specialist,Science & Research,Biotechnology Research Scientist,Healthcare & Medicine,"Healthcare & Medicine,Tech & Engineering","Science & Research,Tech & Engineering,Architecture & Urban Planning",$65k–$120k,$65k–$120k
0.609,Hospital Lab Manager,Healthcare & Medicine,Medical Laboratory Director,Science & Research,"Business & Finance,Science & Research","Healthcare & Medicine,Business & Finance",$65k–$110k,$65k–$120k
0.609,Sports Broadcast Analyst,Gaming & Esports,Sports Broadcasting Analyst,Sports & Fitness,"Tech & Engineering,Marketing & Communications,Science & Research","Media & Journalism,Education & Coaching",$45k–$120k,$45k–$120k
0.609,Audio Engineer (Broadcasting),Science & Research,Audio Engineer (Broadcast),Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Arts & Performance","Tech & Engineering,Design & Creative",$35k–$75k,$35k–$75k
0.609,UX Copywriter,Marketing & Communications,UX/UI Copywriter,Design & Creative,"Business & Finance,Design & Creative","Tech & Engineering,Business & Finance",$55k–$95k,$58k–$95k
0.609,Meeting Planner (Association),Hospitality & Events,Conference Center Manager,Supply Chain & Operations,"Business & Finance,Social Impact & Nonprofit","Business & Finance,Tech & Engineering,Science & Research",$48k–$77k,$45k–$75k
0.609,Interaction Designer (Product),Design & Creative,User Experience Designer,Science & Research,"Tech & Engineering,Business & Finance","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$65k–$110k,$65k–$110k
0.609,Virtual Reality Content Creator,Tech & Engineering,Virtual Reality Experience Designer,Arts & Performance,"Design & Creative,Arts & Performance","Design & Creative,Tech & Engineering",$55k–$95k,$60k–$95k
0.609,Textiles Quality Control Inspector,Fashion & Beauty,Textile Quality Inspector,Marketing & Communications,"Design & Creative,Science & Research","Business & Finance,Design & Creative,Media & Journalism",$30k–$45k,$30k–$45k
0.609,Mergers & Acquisitions Specialist,Science & Research,M&A Specialist,Business & Finance,"Healthcare & Medicine,Tech & Engineering","Entrepreneurship,Tech & Engineering,Science & Research",$100k–$200k,$100k–$200k
0.609,Science Communicator,Education & Coaching,Science Researcher Communicator,Media & Journalism,"Social Impact & Nonprofit,Tech & Engineering,Marketing & Communications","Science & Research,Education & Coaching",$45k–$75k,$45k–$75k
0.609,Social Justice Program Director,Gaming & Esports,Social Justice Program Manager,Social Impact & Nonprofit,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning","Education & Coaching,Law & Government",$45k–$75k,$45k–$70k
0.607,Sustainable Fashion Entrepreneur,Marketing & Communications,Sustainable Fashion Brand Owner,Fashion & Beauty,"Business & Finance,Design & Creative,Science & Research","Entrepreneurship,Design & Creative",$45k–$150k,$45k–$120k
0.6,Social Media Influencer Entrepreneur,Marketing & Communications,Social Media Manager (Creator Economy),Entrepreneurship,"Business & Finance,Design & Creative,Media & Journalism","Media & Journalism,Design & Creative",$0–$500k+,$45k–$150k
0.6,Insurance Adjuster (Claims),Business & Finance,Insurance Adjuster,Healthcare & Medicine,"Law & Government,Healthcare & Medicine","Science & Research,Tech & Engineering",$55k–$90k,$55k–$85k
0.6,Newsletter Editor (Substack),Media & Journalism,Newsletter Substack Creator,Entrepreneurship,"Entrepreneurship,Design & Creative","Media & Journalism,Business & Finance",$30k–$80k,$30k–$45k
0.6,Network Infrastructure Engineer,Tech & Engineering,Network Engineer,Science & Research,"Business & Finance,Science & Research","Healthcare & Medicine,Tech & Engineering,Cybersecurity",$65k–$120k,$65k–$110k
0.6,Sports Nutritionist,Food & Culinary,Sport Nutrition Specialist,Sports & Fitness,"Hospitality & Events,Business & Finance,Science & Research","Healthcare & Medicine,Education & Coaching",$45k–$75k,$45k–$75k
0.6,Pharmacology Researcher,Science & Research,Pharmaceutical Researcher,Healthcare & Medicine,"Healthcare & Medicine,Tech & Engineering","Science & Research,Tech & Engineering,Architecture & Urban Planning",$65k–$120k,$65k–$125k
0.6,Voice Interaction Designer,Tech & Engineering,Interaction Designer (Voice Tech),Design & Creative,"Design & Creative,Education & Coaching","Tech & Engineering,Social Impact & Nonprofit",$65k–$120k,$65k–$110k
0.6,Merger and Acquisitions Associate,Tech & Engineering,Mergers and Acquisitions Manager,Business & Finance,"Business & Finance,Design & Creative,Science & Research","Entrepreneurship,Tech & Engineering,Architecture & Urban Planning",$85k–$150k,$100k–$200k
0.6,Renewable Energy Developer,Environment & Sustainability,Renewable Energy Systems Engineer,Tech & Engineering,"Science & Research,Law & Government,Tech & Engineering","Environment & Sustainability,Science & Research",$65k–$110k,$60k–$105k
0.6,Marathon Coach,Gaming & Esports,Marathon Training Coach,Sports & Fitness,"Tech & Engineering,Marketing & Communications,Science & Research","Education & Coaching,Healthcare & Medicine",$35k–$65k,$35k–$75k
0.6,Mediator (Dispute Resolution),Law & Government,Mediation Specialist,Media & Journalism,"Business & Finance,Social Impact & Nonprofit","Marketing & Communications,Arts & Performance,Law & Government",$45k–$75k,$48k–$77k
0.593,Social Media Manager (News Org),Media & Journalism,Social Media Manager (News),Marketing & Communications,"Design & Creative,Business & Finance","Business & Finance,Design & Creative,Science & Research",$35k–$65k,$40k–$65k
0.591,Banquet Director,Hospitality & Events,Catering Director,Food & Culinary,"Business & Finance,Design & Creative","Hospitality & Events,Business & Finance,Science & Research",$35k–$65k,$45k–$75k
0.591,Quality Control Analyst (STEM),Supply Chain & Operations,Quality Assurance Technician,Science & Research,"Business & Finance,Tech & Engineering,Science & Research","Tech & Engineering,Healthcare & Medicine",$50k–$85k,$40k–$65k
0.591,Mediation Facilitator,Law & Government,Mediation Specialist,Media & Journalism,"Social Impact & Nonprofit,Business & Finance","Marketing & Communications,Arts & Performance,Law & Government",$45k–$75k,$48k–$77k
0.588,Fact Checker (News Organization),Science & Research,Fact-Checker (Publication),Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Media & Journalism","Law & Government,Science & Research",$48k–$77k,$45k–$75k
0.583,Destination Management Company Owner,Supply Chain & Operations,Destination Management Company Director,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Business & Finance,Entrepreneurship",$45k–$85k,$48k–$77k
0.583,Youth Mental Health Counselor,Education & Coaching,Mental Health Counselor (Licensed),Healthcare & Medicine,"Healthcare & Medicine,Social Impact & Nonprofit","Education & Coaching,Social Impact & Nonprofit",$35k–$55k,$45k–$65k
0.583,Event Production Coordinator,Hospitality & Events,Event Planner,Supply Chain & Operations,"Design & Creative,Business & Finance","Business & Finance,Tech & Engineering,Science & Research",$35k–$65k,$42k–$72k
0.583,Textiles Quality Control Inspector,Fashion & Beauty,Textile Quality Assurance Inspector,Marketing & Communications,"Design & Creative,Science & Research","Business & Finance,Design & Creative,Science & Research",$30k–$45k,$32k–$52k
0.583,Pharmaceutical Research Scientist,Science & Research,Pharmaceutical Researcher,Healthcare & Medicine,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Science & Research,Tech & Engineering,Architecture & Urban Planning",$70k–$130k,$65k–$125k
0.583,Motion Capture Designer,Gaming & Esports,Motion Capture Specialist,Design & Creative,"Tech & Engineering,Marketing & Communications,Media & Journalism","Tech & Engineering,Media & Journalism",$50k–$85k,$50k–$85k
0.583,Social Media Influencer Entrepreneur,Marketing & Communications,Influencer Entrepreneur,Entrepreneurship,"Business & Finance,Design & Creative,Media & Journalism","Media & Journalism,Design & Creative",$0–$500k+,$30k–$200k+
0.583,Clinical Laboratory Technologist,Science & Research,Medical Technologist,Healthcare & Medicine,"Healthcare & Medicine,Education & Coaching","Science & Research,Tech & Engineering",$38k–$58k,$37k–$63k
0.579,Mergers & Acquisitions Specialist,Science & Research,Mergers & Acquisitions Associate,Business & Finance,"Healthcare & Medicine,Tech & Engineering","Entrepreneurship,Law & Government",$100k–$200k,$70k–$150k
0.579,Nutrition Coach (Athletic),Sports & Fitness,Sports Nutritionist,Food & Culinary,"Healthcare & Medicine,Marketing & Communications,Science & Research","Hospitality & Events,Business & Finance,Science & Research",$40k–$75k,$45k–$75k
0.579,Orthotist,Healthcare & Medicine,Orthopedic Technician,Science & Research,"Science & Research,Design & Creative","Healthcare & Medicine,Tech & Engineering",$55k–$85k,$35k–$55k
0.579,Laboratory Animal Technician,Science & Research,Laboratory Animal Specialist,Healthcare & Medicine,"Healthcare & Medicine,Education & Coaching","Science & Research,Tech & Engineering",$32k–$52k,$28k–$50k
0.577,UX Research Lead,Design & Creative,User Research Specialist,Science & Research,"Tech & Engineering,Business & Finance","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$70k–$130k,$60k–$95k
0.577,Renewable Energy Installer,Supply Chain & Operations,Renewable Energy Contractor,Environment & Sustainability,"Business & Finance,Tech & Engineering,Science & Research","Tech & Engineering,Science & Research",$48k–$82k,$45k–$75k
0.571,Hotel Event Manager,Supply Chain & Operations,Private Events Coordinator,Hospitality & Events,"Business & Finance,Tech & Engineering,Science & Research","Design & Creative,Entrepreneurship",$40k–$75k,$35k–$65k
0.571,Investment Banker,Science & Research,Merger & Acquisition Specialist,Business & Finance,"Healthcare & Medicine,Tech & Engineering","Law & Government,Entrepreneurship",$30k–$45k,$85k–$175k
0.571,Media Rights Specialist,Media & Journalism,Media Rights Analyst,Law & Government,"Law & Government,Business & Finance","Business & Finance,Social Impact & Nonprofit,Science & Research",$65k–$110k,$58k–$95k
0.571,Textile Quality Inspector,Marketing & Communications,Fabric Quality Inspector,Fashion & Beauty,"Business & Finance,Design & Creative,Media & Journalism","Design & Creative,Business & Finance",$30k–$45k,$30k–$45k
0.571,Personal Stylist (Professional),Fashion & Beauty,Wardrobe Stylist,Supply Chain & Operations,"Business & Finance,Design & Creative","Business & Finance,Tech & Engineering,Fashion & Beauty",$35k–$75k,$35k–$75k
0.571,Investigative Journalist,Science & Research,Investigative Broadcast Reporter,Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Arts & Performance","Law & Government,Social Impact & Nonprofit",$35k–$75k,$35k–$75k
0.571,Comics Writer and Illustrator,Media & Journalism,Comics Writer and Artist,Science & Research,"Design & Creative,Arts & Performance","Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",$35k–$75k,$35k–$75k
0.571,App Developer (Solo),Entrepreneurship,App Developer (Independent),Marketing & Communications,"Business & Finance,Tech & Engineering,Architecture & Urban Planning","Business & Finance,Design & Creative,Architecture & Urban Planning",$45k–$150k,$20k–$150k
0.567,Fashion Blogger/Influencer,Fashion & Beauty,Fashion Blogger/Content Creator,Marketing & Communications,"Entrepreneurship,Media & Journalism","Business & Finance,Design & Creative,Science & Research",$45k–$150k,$35k–$85k
