id,title,current_primary_industry,proposed_primary_industry,current_secondary_industries,proposed_secondary_industries,current_requirements,proposed_requirements,confidence,SOC_code_used,onet_occupation_title,onet_job_zone,flagged_industry_mismatch,mismatch_tier,flagged_templated_requirements,dup_shared_count,phase1_keyword_expected,requirements_rewrite_shared_by,requirements_rewrite_career_specific,notes,created_at
c210bf05-a15f-44a4-bba1-17e1cd17a37b,Financial Analyst,Science & Research,Business & Finance,"Healthcare & Medicine,Tech & Engineering,Arts & Performance","Science & Research,Healthcare & Medicine,Tech & Engineering,Arts & Performance","Bachelor's degree in finance, accounting, economics, or related field; CFA or FRM certification preferred but not always required at entry level.","O*NET classifies this work under Financial and Investment Analysts (SOC 13-2051.00), Job Zone 4 — Considerable Preparation Needed. Most of these occupations require a four-year bachelor's degree, but some do not. A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified. O*NET SVP range 7.0 to 8.0.",LOW,13-2051.00,Financial and Investment Analysts,4,yes,HIGH,yes,5,Business & Finance,13,no,"SOC 13-2051.00 only maps at major-group level (13) — too coarse to auto-apply; demoted current primary ""Science & Research"" to secondary rather than discarding it; rewrite would be identical on 13 careers sharing SOC 13-2051.00 — still templated, needs per-career wording",2026-04-22T02:52:31.20659+00:00
356b8664-76f3-4a2a-b352-8cc9d59c8d1d,Forensic Accountant,Cybersecurity,,"Tech & Engineering,Law & Government,Science & Research",,"Bachelor's degree in accounting, finance, or related field; CPA certification and CFE (Certified Fraud Examiner) credentials typically required or strongly preferred.",,LOW,,,,yes,HIGH,yes,11,Business & Finance,,,"no valid O*NET SOC in source_url — cannot verify against O*NET; templated requirements, but no O*NET data available to rewrite from",2026-04-22T02:52:30.082186+00:00
86e9c088-dfc4-402a-b87e-375bc49a2307,Forensic Nurse,Cybersecurity,Healthcare & Medicine,"Tech & Engineering,Law & Government,Science & Research","Cybersecurity,Tech & Engineering,Law & Government,Science & Research","Bachelor's degree in nursing, RN licensure, and specialized forensic nursing certification (SANE or SAFE) required.",,HIGH,29-1141.03,Critical Care Nurses,4,yes,HIGH,no,,Healthcare & Medicine,,,"O*NET and Phase 1 keyword signal agree independently on Healthcare & Medicine; SOC major group 29 maps to Healthcare & Medicine for every occupation it contains, so the 2-digit match is coarse but not ambiguous; demoted current primary ""Cybersecurity"" to secondary rather than discarding it",2026-04-22T02:52:29.856816+00:00
07b558c9-4d57-41f5-adbd-e43747f6da00,Hairstylist (Specialty Cuts),Environment & Sustainability,,"Science & Research,Law & Government,Tech & Engineering",,Complete a state-approved cosmetology or barbering program (typically 1-2 years) and pass your state's licensing exam to practice.,,LOW,,,,yes,HIGH,no,,Fashion & Beauty,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:33.477982+00:00
8cea4efc-eab4-42a0-ad7d-8c65c82c6ed9,Hotel Digital Marketing Manager,Marketing & Communications,,"Business & Finance,Design & Creative,Science & Research",,"Bachelor's degree in Marketing, Hospitality, Communications, or related field preferred; certifications in digital marketing platforms (Google Analytics, Meta Blueprint, HubSpot) and hospitality systems are beneficial.",,NO CHANGE,11-2021.00,Marketing Managers,4,yes,HIGH,no,,Hospitality & Events,,,O*NET (Marketing & Communications) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-22T02:52:29.422718+00:00
3c26327b-edf2-452e-ac2b-24cf441edbec,Hotel Event Manager,Hospitality & Events,,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research",,High school diploma or associate degree preferred; certifications like CMP (Certified Meeting Professional) or ISES membership boost credentials.,"O*NET classifies this work under Meeting, Convention, and Event Planners (SOC 13-1121.00), Job Zone 4 — Considerable Preparation Needed. Most of these occupations require a four-year bachelor's degree, but some do not. Survey respondents reported: Bachelor's degree required. A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified. O*NET SVP range 7.0 to 8.0.",NO CHANGE,13-1121.00,"Meeting, Convention, and Event Planners",4,yes,HIGH,yes,10,Hospitality & Events,16,no,"O*NET (Hospitality & Events) matches current primary — Phase 1 keyword flag looks like a false positive; rewrite would be identical on 16 careers sharing SOC 13-1121.00 — still templated, needs per-career wording",2026-04-22T02:52:31.20659+00:00
17645c05-36b1-44e3-9d81-c7ee4c0914c3,Hotel Sustainability Coordinator,Supply Chain & Operations,Business & Finance,"Business & Finance,Tech & Engineering,Science & Research","Supply Chain & Operations,Tech & Engineering,Science & Research","Bachelor's degree in hospitality, environmental science, or related field preferred; certifications in sustainability practices and green building standards (LEED, ISO 14001) are advantageous.",,LOW,11-9199.00,"Managers, All Other",,yes,HIGH,no,,Hospitality & Events,,,"SOC 11-9199.00 only maps at major-group level (11) — too coarse to auto-apply; demoted current primary ""Supply Chain & Operations"" to secondary rather than discarding it; removed proposed primary from secondaries",2026-04-22T02:52:32.086589+00:00
be8df84e-ea8a-4403-ad8b-29e5f7e8cab5,Insurance Risk Underwriter,Media & Journalism,,"Marketing & Communications,Arts & Performance,Science & Research",,Bachelor's degree preferred (any field); professional certifications like Associate in Risk Management (ARM) or Chartered Property & Casualty Underwriter (CPCU) advance your career.,,LOW,,,,yes,HIGH,no,,Business & Finance,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:34.05043+00:00
e7495886-f28b-4ca6-b8b7-bbb0676f5de9,Insurance Underwriter,Media & Journalism,Business & Finance,"Marketing & Communications,Arts & Performance,Science & Research","Media & Journalism,Marketing & Communications,Arts & Performance,Science & Research","Bachelor's degree in business, finance, or related field preferred; professional certifications such as Associate in Commercial Underwriting (AU) or Chartered Property Casualty Underwriter (CPCU) enhance career prospects.","O*NET classifies this work under Insurance Underwriters (SOC 13-2053.00), Job Zone 4 — Considerable Preparation Needed. Most of these occupations require a four-year bachelor's degree, but some do not. Survey respondents reported: Bachelor's degree required 10% </. A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified. O*NET SVP range 7.0 to 8.0.",LOW,13-2053.00,Insurance Underwriters,4,yes,HIGH,yes,19,Business & Finance,1,yes,"SOC 13-2053.00 only maps at major-group level (13) — too coarse to auto-apply; demoted current primary ""Media & Journalism"" to secondary rather than discarding it",2026-04-22T02:52:34.239097+00:00
929c4575-4558-43c5-bf92-2e482123dc97,Investigative Journalist,Science & Research,,"Healthcare & Medicine,Tech & Engineering,Arts & Performance",,"A degree in journalism, communications, or English is helpful but not always required; strong writing portfolio and familiarity with media ethics are essential.",,LOW,,,,yes,HIGH,no,,Media & Journalism,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:31.20659+00:00
1b52ef0b-787f-4010-89eb-874784fc2f4b,Large Animal Veterinarian,Hospitality & Events,,"Food & Culinary,Marketing & Communications",,"Doctor of Veterinary Medicine (DVM) degree, veterinary license, and state board certification required.",,LOW,,,,yes,HIGH,no,,Healthcare & Medicine / Science & Research,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:34.05043+00:00
b2718799-b8af-4d43-8d9b-0b0d233f3407,Local Food Supply Chain Founder,Entrepreneurship,,"Environment & Sustainability,Business & Finance",,"No specific degree required; business courses, agricultural knowledge, and supply chain basics are valuable; certifications in food safety and business management can strengthen your foundation.",,LOW,,,,yes,HIGH,no,,Supply Chain & Operations,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T03:25:58.981028+00:00
68dc2d2a-6f9e-4562-9657-ee648ae4c0cf,Music Journalist,Media & Journalism,,"Science & Research,Healthcare & Medicine,Tech & Engineering,Arts & Performance",,"Bachelor's degree in journalism, music, communications, or related field preferred; strong portfolio and music knowledge essential; certifications in audio production or digital media beneficial but not required.",,NO CHANGE,27-3023.00,"News Analysts, Reporters, and Journalists",4,yes,HIGH,no,,Media & Journalism,,,O*NET (Media & Journalism) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-22T02:52:34.465719+00:00
0fab5c53-ac9b-4584-86c1-3a1c420c4088,Nonprofit Accountant,Social Impact & Nonprofit,,"Education & Coaching,Law & Government,Science & Research",,A bachelor's degree in accounting or finance is typically required; CPA certification (Certified Public Accountant) is often preferred and requires passing the CPA exam.,,LOW,,,,yes,HIGH,yes,4,Business & Finance,,,"no valid O*NET SOC in source_url — cannot verify against O*NET; templated requirements, but no O*NET data available to rewrite from",2026-04-22T02:52:31.845128+00:00
777f5691-405c-44b4-8623-f22d0a57b400,Nonprofit Financial Analyst,Social Impact & Nonprofit,,"Education & Coaching,Law & Government,Science & Research",,"Bachelor's degree in accounting, finance, or related field; knowledge of nonprofit accounting standards (GAAP) and grant compliance preferred.",,LOW,,,,yes,HIGH,no,,Business & Finance,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:33.675655+00:00
65288c4f-1689-4dd5-8ec1-1ead67a24ede,Occupational Health Nurse,Hospitality & Events,,"Food & Culinary,Marketing & Communications",,You'll need an RN license (requires a Bachelor's or Associate's degree in nursing) plus additional certification in occupational health nursing (COHN or COHN-S exam).,,LOW,,,,yes,HIGH,no,,Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:29.422718+00:00
8057c561-ba98-4b32-8b7e-1a773d19e8b0,Occupational Health Physician,Hospitality & Events,,"Food & Culinary,Marketing & Communications",,"Bachelor's degree, medical school (MD or DO), residency in occupational medicine (3-4 years), and board certification by the American Board of Preventive Medicine.",,LOW,,,,yes,HIGH,no,,Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:33.86077+00:00
e985178d-2f68-4187-9e74-624dbb57f71d,Occupational Sports Medicine Physician,Gaming & Esports,,"Tech & Engineering,Marketing & Communications,Media & Journalism",,"Earn an M.D. or D.O., complete residency in family medicine or orthopedic surgery, then fellowship training in sports medicine (3-5 years post-medical school); obtain board certification from ABOM or ABFM.",,LOW,,,,yes,HIGH,no,,Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:33.087307+00:00
9b27a50f-f4a9-4916-abaf-32d8a5d15558,Performance Coach for Musicians,Sports & Fitness,Education & Coaching,"Healthcare & Medicine,Marketing & Communications,Science & Research","Sports & Fitness,Healthcare & Medicine,Marketing & Communications,Science & Research",Strong musical background and performance experience required; formal credentials like sports psychology or coaching certifications helpful but not mandatory; many coaches build reputation through mentoring and client testimonials.,,MEDIUM,25-3011.00,,4,yes,HIGH,no,,Arts & Performance,,,"CONFLICT: O*NET says Education & Coaching, Phase 1 keyword implied Arts & Performance — needs a human; demoted current primary ""Sports & Fitness"" to secondary rather than discarding it",2026-04-22T02:52:34.465719+00:00
41e1a288-8afb-4988-97c9-afcbd8a5afc4,Performer Coach,Supply Chain & Operations,,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",,High school diploma or equivalent required; professional performance experience and coaching certifications (such as through performing arts organizations) are beneficial but not always mandatory.,,LOW,,,,yes,HIGH,no,,Arts & Performance / Sports & Fitness,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:32.905098+00:00
e05caf1f-f6e0-4333-8491-b39da6340791,Pipe Organ Builder,Tech & Engineering,Supply Chain & Operations,"Business & Finance,Design & Creative","Tech & Engineering,Business & Finance,Design & Creative","Apprenticeship under master organ builders is the primary pathway; formal training in organ building, woodworking, or music technology programs can accelerate entry.",,LOW,51-7099.00,"Woodworkers, All Other",,yes,HIGH,no,,Arts & Performance,,,"SOC 51-7099.00 only maps at major-group level (51) — too coarse to auto-apply; demoted current primary ""Tech & Engineering"" to secondary rather than discarding it",2026-04-22T02:52:30.264317+00:00
584d1946-a2b1-4819-883d-a351ae7960a9,Prosecutor,Gaming & Esports,Law & Government,"Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit","Gaming & Esports,Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit","Earn a bachelor's degree, complete law school (JD), and pass your state's bar exam to become a licensed attorney.","O*NET classifies this work under Lawyers (SOC 23-1011.00), Job Zone 5 — Extensive Preparation Needed. Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree). Survey respondents reported: Doctoral degree required 23% </di. Extensive skill, knowledge, and experience are needed for these occupations. Many require more than five years of experience. For example, surgeons must complete four years of college and an additional five to seven years of specialized medical training to be able to do their job. O*NET SVP range 8.0 and above.",HIGH,23-1011.00,Lawyers,5,yes,HIGH,yes,11,Law & Government,74,no,"O*NET and Phase 1 keyword signal agree independently on Law & Government; SOC major group 23 maps to Law & Government for every occupation it contains, so the 2-digit match is coarse but not ambiguous; demoted current primary ""Gaming & Esports"" to secondary rather than discarding it; rewrite would be identical on 74 careers sharing SOC 23-1011.00 — still templated, needs per-career wording",2026-04-22T02:52:33.86077+00:00
e779ed88-aba7-461f-8c93-4f36e4e45e75,Public Health Nurse,Gaming & Esports,,"Tech & Engineering,Marketing & Communications,Science & Research",,Bachelor's degree in Nursing (BSN) and RN licensure required; additional public health certification (PHCN) or master's degree in public health preferred.,,LOW,,,,yes,HIGH,no,,Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:34.465719+00:00
73cef218-0324-43fc-8fe7-044ced23db3b,Referee,Sports & Fitness,,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research",,Complete sport-specific certification courses and pass exams; higher-level positions may require formal training or mentorship under experienced officials.,,NO CHANGE,27-2023.00,"Umpires, Referees, and Other Sports Officials",,yes,HIGH,no,,Sports & Fitness,,,O*NET (Sports & Fitness) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-22T02:52:33.86077+00:00
81d5e6d4-f13d-4db7-9e72-9b930910ca75,Referee and Umpire Coordinator,Gaming & Esports,Hospitality & Events,"Tech & Engineering,Marketing & Communications,Science & Research","Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research",High school diploma typically required; certification as an official in your sport and training in sports management or coordination is often needed.,,MEDIUM,39-9032.00,Recreation Workers,4,yes,HIGH,no,,Sports & Fitness,,,"CONFLICT: O*NET says Hospitality & Events, Phase 1 keyword implied Sports & Fitness — needs a human; demoted current primary ""Gaming & Esports"" to secondary rather than discarding it",2026-04-22T02:52:32.680575+00:00
e0ebf060-11ac-4490-89c4-2e0808329bc7,Referee/Umpire,Sports & Fitness,,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research",,High school diploma required; must complete official certification courses and pass exams specific to the sport or league being officiated.,,NO CHANGE,27-2023.00,"Umpires, Referees, and Other Sports Officials",,yes,HIGH,no,,Sports & Fitness,,,O*NET (Sports & Fitness) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-22T02:52:31.660242+00:00
c6b5328b-3f72-46d9-9a51-0c8cecbbaf28,Regenerative Supply Chain Manager,Supply Chain & Operations,,"Environment & Sustainability,Business & Finance,Science & Research",,"Bachelor's degree in supply chain management, environmental science, or business preferred; certifications in sustainable supply chain (APICS CSCP or similar) and familiarity with regenerative agriculture/business principles strongly valued.","O*NET classifies this work under Logisticians (SOC 13-1081.00), Job Zone 4 — Considerable Preparation Needed. Most of these occupations require a four-year bachelor's degree, but some do not. Survey respondents reported: Bachelor's degree required 8% </di. A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified. O*NET SVP range 7.0 to 8.0.",NO CHANGE,13-1081.00,Logisticians,4,yes,HIGH,yes,5,Supply Chain & Operations,8,no,"O*NET (Supply Chain & Operations) matches current primary — Phase 1 keyword flag looks like a false positive; rewrite would be identical on 8 careers sharing SOC 13-1081.00 — still templated, needs per-career wording",2026-08-13T02:29:45.321917+00:00
993ea751-aeb6-4f89-9265-c0476591db6e,Reinsurance Underwriter,Science & Research,,"Healthcare & Medicine,Tech & Engineering",,"Bachelor's degree in business, finance, or related field required; professional certifications such as ARM (Associate in Risk Management) or CPCU (Chartered Property Casualty Underwriter) are highly valued and often required for advancement.",,LOW,,,,yes,HIGH,no,,Business & Finance,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:33.087307+00:00
6bc29fb9-fc24-482b-b6b1-b177aa8a69e3,Renewable Energy Supply Chain Manager,Supply Chain & Operations,,"Environment & Sustainability,Business & Finance,Tech & Engineering",,"Bachelor's degree in supply chain management, logistics, business, or engineering preferred; certifications in supply chain (APICS CSCP) enhance competitiveness.",,NO CHANGE,13-1081.00,Logisticians,4,yes,HIGH,no,,Supply Chain & Operations,,,O*NET (Supply Chain & Operations) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-24T06:30:42.544499+00:00
