tier,score,id,name,keyword,found_in,primary_industry,secondary_industries,expected_any_of,created_at,description
HIGH,20,a29f396d-f162-4e81-8e86-fa97359132f6,Cosmetologist,Cosmetolog,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty / Healthcare & Medicine,2026-04-22T02:52:30.47108+00:00,"You transform how people look and feel by applying makeup, cutting hair, and treating skin with precision and artistry, boosting confidence one client at a time."
HIGH,20,5ee74b3c-1521-4cad-9e06-14827a83d93d,Cosmetology Salon Owner,Cosmetolog,title,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Fashion & Beauty / Healthcare & Medicine,2026-04-22T02:52:31.392704+00:00,"You transform clients' appearances and confidence by managing stylists, designing custom beauty services, and building a thriving salon business where artistry meets entrepreneurship."
HIGH,20,b2a55bf4-1dd8-46fa-b134-c4eb7b6cfcbf,Cost Accountant,Accountant,title,Arts & Performance,"Media & Journalism,Design & Creative,Science & Research",Business & Finance,2026-04-22T02:52:33.675655+00:00,"You analyze financial data and track company costs to help businesses spend smarter and boost profits, diving deep into budgets, expenses, and operational efficiency."
HIGH,20,67a29511-97d8-4980-94fa-5ff4a9f7f119,Craft Beer Brewery Owner,Brewery,title,Entrepreneurship,"Business & Finance,Hospitality & Events",Food & Culinary,2026-05-07T01:56:15.564345+00:00,"You craft unique beer recipes, manage production from grain to glass, and build a brand that turns your passion into a thriving local business."
HIGH,20,ba263731-3ac7-42c1-8267-0225dda1aae0,Craft Brewery Owner,Brewery,title,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Food & Culinary,2026-04-22T02:52:31.660242+00:00,"You design recipes, manage fermentation, and build a brand around craft beer while running the business side—from sales to marketing to hiring your team."
HIGH,20,5b45bc6c-f8c3-4a0d-863a-e24f7d742dda,Elementary School Teacher,Teacher,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Education & Coaching,2026-04-22T02:52:31.392704+00:00,"You shape young minds by designing engaging lessons, facilitating classroom discussions, and nurturing curious learners through hands-on activities that build foundational skills in reading, math, and critical thinking."
HIGH,20,8e436142-8831-4949-b5f7-dfd7ecad1e1f,Emergency Room Physician,Physician,title,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Healthcare & Medicine,2026-04-22T02:52:32.086589+00:00,"You make split-second decisions in a high-stakes environment, diagnosing and treating life-threatening conditions while leading a team of nurses and specialists to save lives every shift."
HIGH,20,65795be1-b10f-4e82-b9ef-fe4154c845f6,Environmental Graphic Designer (Interior),Graphic Design,title,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Design & Creative / Marketing & Communications / Media & Journalism,2026-04-22T02:52:31.392704+00:00,"You design immersive interior spaces using graphics, signage, and visual elements to guide people, tell stories, and transform how they experience buildings—from hospitals and museums to corporate offices and retail environments."
HIGH,20,9e9e2dcc-a3ed-42e5-97eb-460618afd1d4,ESL (English as Second Language) Teacher,Teacher,title,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",Education & Coaching,2026-04-22T02:52:32.905098+00:00,"You design and deliver dynamic English lessons to students from diverse language backgrounds, breaking down grammar and communication skills while building their confidence to speak, write, and thrive in English-speaking environments."
HIGH,20,4525058b-d872-4534-9265-a41b1420ca31,Event Planner,Event Planner,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Hospitality & Events / Marketing & Communications,2026-04-22T02:52:32.271017+00:00,"You orchestrate every detail of memorable events—from weddings and conferences to festivals and corporate galas—coordinating vendors, budgets, timelines, and logistics to bring visions to life and create experiences people cherish."
HIGH,20,74d913e4-cc62-49e5-a1a1-0e7a52870eb8,Exhibition Graphic Designer,Graphic Design,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative / Marketing & Communications / Media & Journalism,2026-04-22T02:52:31.660242+00:00,"You design immersive visual experiences for museums, galleries, and trade shows—creating eye-catching layouts, typography, and graphics that guide visitors through spaces and tell compelling stories."
HIGH,20,c210bf05-a15f-44a4-bba1-17e1cd17a37b,Financial Analyst,Financial Analyst,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Arts & Performance",Business & Finance,2026-04-22T02:52:31.20659+00:00,"You dig through financial data and market trends to help companies and investors make smarter money decisions, turning numbers into strategies that can earn or save millions."
HIGH,20,356b8664-76f3-4a2a-b352-8cc9d59c8d1d,Forensic Accountant,Accountant,title,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Business & Finance,2026-04-22T02:52:30.082186+00:00,"You investigate financial crimes by tracing money through complex transactions, uncovering embezzlement, fraud, and hidden assets that criminals try to disguise. Your spreadsheet detective work produces evidence used to prosecute white-collar criminals and recover stolen funds."
HIGH,20,86e9c088-dfc4-402a-b87e-375bc49a2307,Forensic Nurse,Nurse,title,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",Healthcare & Medicine,2026-04-22T02:52:29.856816+00:00,"You provide medical care to victims of violence and crime while collecting evidence that can be used in court. You might examine assault survivors, photograph injuries, or testify as an expert witness to help bring perpetrators to justice."
HIGH,20,07b558c9-4d57-41f5-adbd-e43747f6da00,Hairstylist (Specialty Cuts),Hairstylist,title,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Fashion & Beauty,2026-04-22T02:52:33.477982+00:00,"You transform hair through precision cutting techniques, creating signature styles that boost clients' confidence while building a loyal following in a fast-paced salon environment."
HIGH,20,8cea4efc-eab4-42a0-ad7d-8c65c82c6ed9,Hotel Digital Marketing Manager,Hotel,title,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Hospitality & Events,2026-04-22T02:52:29.422718+00:00,"You create social media campaigns, manage online advertising, and optimize hotel websites to drive bookings. Your understanding of travel trends and digital platforms turns browsers into guests and guests into loyal fans."
HIGH,20,3c26327b-edf2-452e-ac2b-24cf441edbec,Hotel Event Manager,Hotel,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Hospitality & Events,2026-04-22T02:52:31.20659+00:00,"You orchestrate every detail of corporate conferences, weddings, and galas—from vendor negotiations to timeline management—ensuring flawless events that leave guests amazed."
HIGH,20,17645c05-36b1-44e3-9d81-c7ee4c0914c3,Hotel Sustainability Coordinator,Hotel,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Hospitality & Events,2026-04-22T02:52:32.086589+00:00,You implement eco-friendly practices across hotel operations—from reducing water waste to sourcing local food and eliminating single-use plastics. Your initiatives help properties earn green certifications while cutting costs and attracting environmentally conscious travelers.
HIGH,20,be8df84e-ea8a-4403-ad8b-29e5f7e8cab5,Insurance Risk Underwriter,Underwriter,title,Media & Journalism,"Marketing & Communications,Arts & Performance,Science & Research",Business & Finance,2026-04-22T02:52:34.05043+00:00,"You analyze financial data and assess risk to decide whether insurance companies should approve claims and set premiums, protecting businesses and individuals from unexpected losses."
HIGH,20,e7495886-f28b-4ca6-b8b7-bbb0676f5de9,Insurance Underwriter,Underwriter,title,Media & Journalism,"Marketing & Communications,Arts & Performance,Science & Research",Business & Finance,2026-04-22T02:52:34.239097+00:00,You decide whether to approve insurance applications and set the prices for coverage by evaluating how risky someone or something is to insure. Your judgment calls protect insurance companies from losses while helping people get the coverage they need.
HIGH,20,929c4575-4558-43c5-bf92-2e482123dc97,Investigative Journalist,Journalist,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Arts & Performance",Media & Journalism,2026-04-22T02:52:31.20659+00:00,"You dig deep into stories that matter, conducting interviews and research to uncover the truth, then craft compelling articles that inform and challenge the public."
HIGH,20,1b52ef0b-787f-4010-89eb-874784fc2f4b,Large Animal Veterinarian,Veterinarian,title,Hospitality & Events,"Food & Culinary,Marketing & Communications",Healthcare & Medicine / Science & Research,2026-04-22T02:52:34.05043+00:00,"You diagnose and treat sick horses, cattle, and other farm animals, performing surgeries and preventive care that keeps livestock healthy and farms running smoothly."
HIGH,20,b2718799-b8af-4d43-8d9b-0b0d233f3407,Local Food Supply Chain Founder,Supply Chain,title,Entrepreneurship,"Environment & Sustainability,Business & Finance",Supply Chain & Operations,2026-04-22T03:25:58.981028+00:00,You build direct connections between local farmers and communities by creating supply chain systems that get fresh food from farm to table while supporting your region's economy.
HIGH,20,68dc2d2a-6f9e-4562-9657-ee648ae4c0cf,Music Journalist,Journalist,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Arts & Performance",Media & Journalism,2026-04-22T02:52:34.465719+00:00,"You dive deep into music releases, concerts, and artists to craft compelling stories that shape how millions discover and understand the sounds they love."
HIGH,20,0fab5c53-ac9b-4584-86c1-3a1c420c4088,Nonprofit Accountant,Accountant,title,Social Impact & Nonprofit,"Education & Coaching,Law & Government,Science & Research",Business & Finance,2026-04-22T02:52:31.845128+00:00,"You manage financial records and budgets for mission-driven organizations, ensuring every dollar supports the cause while maintaining transparency and trust with donors and communities served."
HIGH,20,777f5691-405c-44b4-8623-f22d0a57b400,Nonprofit Financial Analyst,Financial Analyst,title,Social Impact & Nonprofit,"Education & Coaching,Law & Government,Science & Research",Business & Finance,2026-04-22T02:52:33.675655+00:00,"You analyze financial data and budgets for nonprofits, helping organizations maximize their social impact by ensuring every dollar reaches the mission."
HIGH,20,65288c4f-1689-4dd5-8ec1-1ead67a24ede,Occupational Health Nurse,Nurse,title,Hospitality & Events,"Food & Culinary,Marketing & Communications",Healthcare & Medicine,2026-04-22T02:52:29.422718+00:00,"You protect workers from illness and injury by conducting health assessments, managing medical emergencies on-site, and developing safety programs that keep employees healthy and productive."
HIGH,20,8057c561-ba98-4b32-8b7e-1a773d19e8b0,Occupational Health Physician,Physician,title,Hospitality & Events,"Food & Culinary,Marketing & Communications",Healthcare & Medicine,2026-04-22T02:52:33.86077+00:00,"You protect workers' health by investigating workplace hazards, treating occupational injuries and illnesses, and advising companies on safety practices to prevent future harm."
HIGH,20,e985178d-2f68-4187-9e74-624dbb57f71d,Occupational Sports Medicine Physician,Physician,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Healthcare & Medicine,2026-04-22T02:52:33.087307+00:00,"You diagnose and treat injuries in athletes, designing recovery plans that get them back in the game while preventing long-term damage."
HIGH,20,9b27a50f-f4a9-4916-abaf-32d8a5d15558,Performance Coach for Musicians,Musician,title,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",Arts & Performance,2026-04-22T02:52:34.465719+00:00,"You develop musicians' technical skills, performance confidence, and stage presence by tailoring coaching strategies to each artist's goals, watching them transform nervousness into powerful live performances."
HIGH,20,41e1a288-8afb-4988-97c9-afcbd8a5afc4,Performer Coach,Performer,title,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Sports & Fitness,2026-04-22T02:52:32.905098+00:00,"You unlock the confidence and artistry in singers, dancers, and actors by coaching them through techniques, emotional authenticity, and performance nerves—transforming raw talent into captivating stage presence."
HIGH,20,e05caf1f-f6e0-4333-8491-b39da6340791,Pipe Organ Builder,Organ Builder,title,Tech & Engineering,"Business & Finance,Design & Creative",Arts & Performance,2026-04-22T02:52:30.264317+00:00,"You craft and assemble massive pipe organs piece by piece, using woodworking, metalwork, and acoustic engineering to create instruments that fill concert halls and churches with soaring sound."
HIGH,20,584d1946-a2b1-4819-883d-a351ae7960a9,Prosecutor,Prosecutor,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit",Law & Government,2026-04-22T02:52:33.86077+00:00,"You build criminal cases, examine evidence, and argue in court to hold people accountable—shaping justice outcomes that protect your community."
HIGH,20,e779ed88-aba7-461f-8c93-4f36e4e45e75,Public Health Nurse,Nurse,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Healthcare & Medicine,2026-04-22T02:52:34.465719+00:00,"You design and implement health programs in communities, hospitals, and clinics—teaching people how to prevent diseases, manage chronic conditions, and stay healthy while directly improving public health outcomes."
HIGH,20,73cef218-0324-43fc-8fe7-044ced23db3b,Referee,Referee,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,2026-04-22T02:52:33.86077+00:00,"You make split-second decisions to enforce rules, manage player conduct, and keep games fair and safe while commanding respect from athletes and crowds."
HIGH,20,81d5e6d4-f13d-4db7-9e72-9b930910ca75,Referee and Umpire Coordinator,Referee,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,2026-04-22T02:52:32.680575+00:00,"You manage and schedule referees and umpires for sports events, ensuring fair play and proper officiating while coordinating logistics and handling disputes that keep games running smoothly."
HIGH,20,e0ebf060-11ac-4490-89c4-2e0808329bc7,Referee/Umpire,Referee,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,2026-04-22T02:52:31.660242+00:00,"You enforce the rules of the game during athletic competitions, making split-second decisions that impact outcomes while managing player conduct. Your authority and fairness keep games safe, competitive, and true to the spirit of the sport."
HIGH,20,c6b5328b-3f72-46d9-9a51-0c8cecbbaf28,Regenerative Supply Chain Manager,Supply Chain,title,Environment & Sustainability,"Business & Finance,Science & Research",Supply Chain & Operations,2026-08-13T02:29:45.321917+00:00,"You design and oversee supply chains that regenerate ecosystems and communities, ensuring products move from source to consumer while restoring soil health, biodiversity, and livelihoods."
HIGH,20,993ea751-aeb6-4f89-9265-c0476591db6e,Reinsurance Underwriter,Underwriter,title,Science & Research,"Healthcare & Medicine,Tech & Engineering",Business & Finance,2026-04-22T02:52:33.087307+00:00,"You evaluate complex insurance risks and negotiate coverage deals that protect insurance companies from catastrophic losses, making split-second decisions that can impact millions of dollars in claims."
HIGH,20,6bc29fb9-fc24-482b-b6b1-b177aa8a69e3,Renewable Energy Supply Chain Manager,Supply Chain,title,Environment & Sustainability,"Business & Finance,Tech & Engineering",Supply Chain & Operations,2026-04-24T06:30:42.544499+00:00,"You orchestrate the movement of solar panels, wind turbine parts, and battery components from factories to installations, solving complex logistics puzzles that power the clean energy revolution."
HIGH,20,1579f2e9-966d-41ef-a6eb-738e87726161,Research Pilot (Flight Testing),Pilot,title,Science & Research,"Tech & Engineering,Entrepreneurship",Aviation & Transportation / Sports & Fitness,2026-05-22T02:15:12.347574+00:00,"You push experimental aircraft to their limits, collecting critical flight data that transforms engineering designs into safer, faster vehicles while solving real-world aerodynamic puzzles in the sky."
HIGH,20,a2674345-7339-46b8-a901-8e7b42663fda,Social Impact Journalist,Journalist,title,Social Impact & Nonprofit,"Education & Coaching,Law & Government,Science & Research",Media & Journalism,2026-04-22T02:52:32.905098+00:00,"You investigate compelling stories that expose injustice and drive social change, using journalism to amplify marginalized voices and hold institutions accountable."
HIGH,20,c88cda3e-2c9b-4813-9a71-7e62ba1a46fb,Sound Designer (Live Theater),Sound Designer,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance / Media & Journalism / Gaming & Esports,2026-04-22T02:52:29.206458+00:00,"You craft immersive soundscapes and manage live audio during theatrical performances, using mixing boards and effects to enhance every emotional moment on stage."
HIGH,20,849aeb85-bb3b-474c-9e13-192063b13abc,Sound Designer (Theater),Sound Designer,title,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Arts & Performance / Media & Journalism / Gaming & Esports,2026-04-22T02:52:33.087307+00:00,"You craft immersive sonic worlds for live theater—layering sound effects, music, and ambience to transport audiences into every scene."
HIGH,20,a0b1d9ff-d3f0-426e-a70e-70041c2bc374,Sports Medicine Physician,Physician,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Healthcare & Medicine,2026-04-22T02:52:33.477982+00:00,"You diagnose and treat athletes' injuries, design recovery plans, and get them back in the game by combining sports science with hands-on medical expertise."
HIGH,20,315fdacd-41ec-4076-9b48-1b9ec4b35eff,Sports Physician,Physician,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Healthcare & Medicine,2026-04-22T02:52:34.239097+00:00,"You diagnose and treat injuries in athletes, combining medical expertise with sports science to get performers back in the game while preventing future damage."
HIGH,20,1b9ab3e8-6cf7-4c50-abf6-76555442d0f3,Supply Chain Finance Analyst,Supply Chain,title,Business & Finance,"Tech & Engineering,Entrepreneurship",Supply Chain & Operations,2026-05-08T02:03:29.693093+00:00,"You optimize the flow of money and materials across global supply chains, analyzing costs, risks, and payment strategies to keep products moving efficiently from factory to customer."
HIGH,20,fdc8d265-f1e6-4ef2-9887-0b373e2ceac4,Supply Chain Finance Specialist,Supply Chain,title,Business & Finance,"Tech & Engineering,Entrepreneurship",Supply Chain & Operations,2026-04-26T06:30:00.312297+00:00,"You optimize how money flows through global supply chains, analyzing payment timing, financing options, and cash flow strategies to keep products moving efficiently from factories to customers."
HIGH,20,6687f976-482e-4c4d-acd2-5f2bfe34c921,Supply Chain Financing Specialist,Supply Chain,title,Business & Finance,"Entrepreneurship,Tech & Engineering",Supply Chain & Operations,2026-07-24T03:20:21.821859+00:00,"You optimize how companies pay for goods moving through their supply chains, using financial strategies to unlock cash flow and reduce costs while keeping operations flowing smoothly."
HIGH,20,727d3964-8c14-49e7-bf2f-c1ef0ff4af00,Supply Chain Manager,Supply Chain,title,Business & Finance,"Entrepreneurship,Tech & Engineering",Supply Chain & Operations,2026-07-10T03:52:37.953477+00:00,"You orchestrate the movement of goods across the globe, optimizing logistics networks and coordinating with suppliers, warehouses, and distributors to ensure products reach customers on time and within budget."
HIGH,20,b0fc710c-d19d-43e1-ab01-9c729c5df25a,Supply Chain Optimization Specialist,Supply Chain,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations,2026-04-22T02:52:32.271017+00:00,"You design and optimize complex networks of suppliers, warehouses, and distribution channels to move products faster and cheaper while minimizing waste and delays."
HIGH,20,8a8c5787-f121-4c29-9a83-3f1718f25754,Supply Chain Risk Manager,Supply Chain,title,Business & Finance,"Law & Government,Tech & Engineering",Supply Chain & Operations,2026-06-02T02:37:14.583678+00:00,"You identify and prevent disruptions in global supply chains by analyzing risks, developing contingency plans, and protecting companies from costly delays or disasters."
HIGH,20,2850a847-34de-4064-93e1-13895552007b,Supply Chain Tech Entrepreneur,Supply Chain,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations,2026-07-15T02:52:57.998957+00:00,"You build and scale tech-enabled supply chain solutions, optimizing how products move from factories to customers while managing logistics, inventory, and vendor networks."
HIGH,20,b8aaebd2-3919-4cc3-a133-2625c3da1ea5,Supply Chain Tech Founder,Supply Chain,title,Entrepreneurship,"Tech & Engineering,Business & Finance",Supply Chain & Operations,2026-06-14T02:37:53.015089+00:00,"You build software platforms that optimize how products move through global supply chains, helping companies save millions while solving real-world logistics puzzles every single day."
HIGH,20,179e11bb-c901-4e20-b8d4-d14f9660ec39,Sustainability Accountant,Accountant,title,Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Business & Finance,2026-04-22T02:52:33.087307+00:00,"You track and report on companies' environmental impact alongside their financial performance, measuring carbon footprints and resource usage. Your work helps businesses prove they're actually meeting their green promises."
HIGH,20,3a08ce0b-0df0-496d-8f82-e95e08b341a3,Sustainable Fashion Brand Strategist,Brand Strateg,title,Fashion & Beauty,"Entrepreneurship,Environment & Sustainability",Marketing & Communications / Business & Finance / Design & Creative,2026-07-13T03:32:58.165843+00:00,"You develop and execute strategies that make fashion brands more sustainable, deciding which materials to use, supply chains to reshape, and sustainability stories to tell—turning eco-conscious values into profitable collections."
HIGH,20,ed69b938-839d-4491-958b-7e7640758fec,Sustainable Supply Chain Auditor,Supply Chain,title,Environment & Sustainability,"Business & Finance,Law & Government",Supply Chain & Operations,2026-08-12T02:28:03.494339+00:00,"You audit global supply chains to verify environmental and ethical practices, reviewing everything from factory emissions to waste management to ensure companies meet sustainability standards."
HIGH,20,e896f17c-b2a2-412b-a328-4848cd4e7393,Sustainable Supply Chain Startup Founder,Supply Chain,title,Entrepreneurship,"Environment & Sustainability,Tech & Engineering",Supply Chain & Operations,2026-05-29T02:08:10.631064+00:00,"You design and operate a business that makes supply chains more sustainable, working with suppliers and logistics partners to reduce waste, emissions, and environmental impact while building a profitable company."
HIGH,20,9f740b13-c56b-4bf9-a68d-e56d0b199291,Trademark Attorney,Attorney,title,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Law & Government,2026-04-22T02:52:31.845128+00:00,"You protect brands and intellectual property by researching trademark applications, filing legal documents, and defending companies against infringement—keeping logos and names safe in the marketplace."
HIGH,20,da26c81f-ab49-482b-9a3d-1eeed5eeb375,Tutor for Learning Disabilities,Tutor,title,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Education & Coaching,2026-04-22T02:52:32.905098+00:00,"You break down complex concepts into bite-sized pieces, building confidence in students who learn differently while adapting your methods to unlock each person's unique strengths."
HIGH,20,21437a59-aeb9-45c9-b20c-f63f13c8b6ac,Underwriter,Underwriter,title,Media & Journalism,"Marketing & Communications,Arts & Performance,Science & Research",Business & Finance,2026-04-22T02:52:30.655222+00:00,"You analyze financial documents and assess risk to decide whether to approve loans, insurance policies, or investments, protecting your company while helping people achieve their goals."
HIGH,16,b5931e0e-7159-40ec-89cb-d3efb5888848,App Developer (Independent),Developer,title,Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-22T02:52:33.675655+00:00,"You design, code, and launch your own mobile or web applications, solving real problems for users while managing every aspect of your business—from development to marketing to customer support."
HIGH,16,6b2306b2-7dbc-4792-95f2-007404f80d90,App Developer Entrepreneur,Developer,title,Marketing & Communications,"Business & Finance,Design & Creative,Entrepreneurship",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-22T02:52:33.477982+00:00,"You design, build, and launch mobile or web apps while managing the business side—coding features, testing performance, marketing to users, and iterating based on feedback to grow your startup."
HIGH,16,bda028f6-1c77-498e-8ead-f8f76025cabb,Astronomical Surveyor,Surveyor,title,Science & Research,"Tech & Engineering,Education & Coaching",Architecture & Urban Planning / Environment & Sustainability / Supply Chain & Operations,2026-07-27T03:39:34.802583+00:00,"You map celestial objects and cosmic phenomena using advanced telescopes and data analysis, contributing groundbreaking discoveries about the universe's structure and composition."
HIGH,16,566de335-26df-4561-8c19-3210af842441,Athletic Director (High School/College),Athletic,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness / Healthcare & Medicine / Education & Coaching,2026-04-22T02:52:33.087307+00:00,You orchestrate every detail of a school's athletic programs—from managing budgets and facilities to coaching staff and student-athlete welfare—making sure teams thrive and athletes succeed both on and off the field.
HIGH,16,d955c258-2267-4fc8-b201-99d170807880,Augmented Reality Developer,Developer,title,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-22T02:52:34.465719+00:00,"You design immersive digital experiences that blend the virtual and physical worlds, creating interactive AR apps and filters that millions of people use on their phones, in stores, and during events."
HIGH,16,30322d1d-c57a-436b-84c0-9f030ab8f1af,Beauty Algorithm Auditor,Auditor,title,Fashion & Beauty,"Tech & Engineering,Marketing & Communications",Business & Finance / Law & Government,2026-08-12T02:28:38.881412+00:00,"You audit AI algorithms used in beauty apps and e-commerce to ensure they're fair, accurate, and free from bias—catching problems before they affect millions of users' product recommendations and virtual try-ons."
HIGH,16,ced963b6-63a7-4b72-b77c-62bc73ee6170,Beauty Brand Developer,Developer,title,Fashion & Beauty,"Entrepreneurship,Design & Creative",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-06-05T02:15:02.243288+00:00,"You develop and launch beauty products from concept to shelf, blending market research, product formulation, and brand storytelling to create makeup and skincare lines that resonate with consumers."
HIGH,16,621b28df-cffc-45f5-9928-8a17de4013f0,Beauty Product Developer,Developer,title,Fashion & Beauty,"Design & Creative,Marketing & Communications,Science & Research",Tech & Engineering / Gaming & Esports / Cybersecurity / Media & Journalism,2026-04-22T02:52:30.264317+00:00,"You formulate, test, and refine cosmetics and skincare products from concept to shelf, blending chemistry with consumer trends to create products that make people feel confident."
