id,title,primary_industry,secondary_industries
fdb0c736-63d4-4877-bf66-11c4b709072d,Sustainable Apparel Designer,Fashion & Beauty,"Environment & Sustainability,Science & Research,Law & Government,Tech & Engineering"
365887f9-96f8-4a05-a3bc-2c213dce3c78,Volunteer Coordinator,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
cab2cacd-a9e4-4f69-9695-bb1f85a6f095,Youth Sports Director,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
cbd89142-4422-4415-b34e-4dd45bd80ff3,Patient Advocate,Healthcare & Medicine,"Social Impact & Nonprofit,Education & Coaching,Law & Government"
adf3485e-cef2-4277-92b8-9ac975e79738,Financial Crime Technology Specialist,Tech & Engineering,"Business & Finance,Cybersecurity,Law & Government"
d2b40242-074e-4c8a-a770-011abd3adb34,Golf Instructor,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Media & Journalism"
15120114-3c8b-488e-bb84-25ed57d2574b,Healthcare Access Advocate,Healthcare & Medicine,"Social Impact & Nonprofit,Law & Government,Education & Coaching"
45a76936-4e3f-4080-afff-4ac3a968acb9,Youth Development Specialist,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
47dbe29a-37c0-4a44-88fe-fa6c1742c558,Anesthesiologist Assistant,Healthcare & Medicine,"Arts & Performance,Media & Journalism,Design & Creative,Science & Research"
5b45bc6c-f8c3-4a0d-863a-e24f7d742dda,Elementary School Teacher,Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
86e9c088-dfc4-402a-b87e-375bc49a2307,Forensic Nurse,Healthcare & Medicine,"Cybersecurity,Tech & Engineering,Law & Government,Science & Research"
584d1946-a2b1-4819-883d-a351ae7960a9,Prosecutor,Law & Government,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit"
9f740b13-c56b-4bf9-a68d-e56d0b199291,Trademark Attorney,Law & Government,"Marketing & Communications,Business & Finance,Design & Creative,Science & Research"
da26c81f-ab49-482b-9a3d-1eeed5eeb375,Tutor for Learning Disabilities,Education & Coaching,"Sports & Fitness,Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning"
e762e773-8edb-476a-a278-ad012c4e004e,Recreation Therapist,Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
b814a04f-88ec-4c5e-ab90-a09bbcc4741f,Recreational Therapist,Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Entrepreneurship"
06dfa212-98be-4fa4-bcd7-3111936f6eea,Sports Physical Therapist,Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
a4f1c0ea-0397-48c8-8a9d-b67e6a78f0ac,Chess Coach,Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Media & Journalism"
87aa195e-63c0-4f54-8e62-10a0f0be46f4,Genetic Testing Counselor,Healthcare & Medicine,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
807c73c6-2c0d-4abb-8bdb-ed2c8748d3a0,Genomic Counselor,Healthcare & Medicine,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
037f4a3a-c8af-443f-84f9-28cafcff35d8,Literacy Coach,Education & Coaching,"Fashion & Beauty,Design & Creative,Marketing & Communications,Science & Research"
a39b6aa4-d286-4bd7-aa51-9aaaf9daa931,Montessori School Director,Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
a21b0e51-9052-4f33-95e8-edc77f5d82f4,Nutritionist (Sports),Healthcare & Medicine,"Food & Culinary,Hospitality & Events,Business & Finance,Arts & Performance"
aac1511a-c76d-498e-aa36-8afacdb1340e,Audiologist,Healthcare & Medicine,"Tech & Engineering,Business & Finance,Design & Creative,Science & Research"
c89fac58-78f7-4cf2-9f0f-4902eb12c582,Wound Care Specialist,Healthcare & Medicine,"Hospitality & Events,Food & Culinary,Marketing & Communications"
